省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
湖南省,长江流域,大通湖,04-01 08:00,Ⅴ,15.0,7.99,9.10,352.2,92.7,4.24,0.050,0.136,0.81,0.012,4523210,正常
湖南省,长江流域,大通湖,04-01 12:00,Ⅴ,14.9,7.98,9.35,351.1,87.9,4.01,0.044,0.139,0.57,0.010,4099630,正常
湖南省,长江流域,大通湖,04-01 16:00,Ⅴ,14.8,8.04,9.43,350.2,86.1,4.01,0.040,0.139,0.57,0.009,3719930,正常
湖南省,长江流域,大通湖,04-01 20:00,Ⅴ,14.5,8.01,9.45,350.3,77.0,3.97,0.040,0.134,0.57,0.012,3918600,正常
湖南省,长江流域,大通湖,04-02 00:00,Ⅴ,14.3,7.99,9.36,350.9,84.6,4.07,0.045,0.134,0.61,0.010,3871860,正常
湖南省,长江流域,大通湖,04-02 00:00,Ⅴ,14.3,7.99,9.36,350.9,84.6,4.07,0.045,0.135,0.62,0.010,3871860,正常
湖南省,长江流域,大通湖,04-02 08:00,Ⅴ,14.0,7.94,9.45,346.3,72.7,4.08,0.044,0.137,0.61,0.008,3081910,正常
湖南省,长江流域,大通湖,04-02 12:00,Ⅴ,13.8,7.39,9.59,346.4,73.3,4.27,0.050,0.133,0.83,0.009,2889930,正常
湖南省,长江流域,大通湖,04-02 16:00,Ⅴ,13.9,7.91,9.77,347.6,68.2,7.44,0.136,0.133,1.22,0.009,3564060,正常
湖南省,长江流域,大通湖,04-02 20:00,Ⅴ,13.8,7.97,9.70,348.6,71.3,4.33,0.135,0.175,0.77,0.010,3574530,正常
湖南省,长江流域,大通湖,04-03 00:00,Ⅴ,13.6,7.99,9.70,347.6,98.6,4.03,0.138,0.158,0.71,0.009,4073900,正常
湖南省,长江流域,大通湖,04-03 00:00,Ⅴ,13.6,7.99,9.70,347.6,98.6,4.03,0.138,0.155,0.72,0.009,4073900,正常
湖南省,长江流域,大通湖,04-03 08:00,Ⅴ,13.2,7.97,9.78,345.9,87.7,4.28,0.116,0.163,0.73,0.007,3496510,正常
湖南省,长江流域,大通湖,04-03 12:00,Ⅴ,13.3,8.06,10.10,346.6,77.8,4.27,0.110,0.139,0.96,0.007,3662590,正常
湖南省,长江流域,大通湖,04-03 16:00,Ⅴ,13.6,8.10,10.41,346.8,76.8,4.27,0.087,0.149,0.74,0.008,3740660,正常
湖南省,长江流域,大通湖,04-03 20:00,Ⅴ,13.5,8.03,10.32,347.7,71.2,3.84,0.084,0.141,0.68,0.009,3387020,正常
湖南省,长江流域,大通湖,04-04 00:00,Ⅴ,13.4,7.99,10.10,348.1,66.5,4.00,0.073,0.136,0.72,0.008,3039890,正常
湖南省,长江流域,大通湖,04-04 00:00,Ⅴ,13.4,7.99,10.10,348.1,66.5,4.00,0.073,0.121,0.71,0.008,3039890,正常
湖南省,长江流域,大通湖,04-04 04:00,Ⅴ,13.3,7.94,9.90,348.5,64.5,3.68,0.079,0.129,0.73,0.007,2925470,正常
湖南省,长江流域,大通湖,04-04 08:00,Ⅴ,13.2,7.97,9.83,348.6,64.8,3.91,0.079,0.121,0.93,0.005,2685730,正常
湖南省,长江流域,大通湖,04-04 12:00,Ⅴ,13.2,7.99,10.15,346.9,69.7,4.04,0.075,0.131,0.70,0.006,3028890,正常
湖南省,长江流域,大通湖,04-04 16:00,Ⅴ,13.2,8.00,10.30,344.5,67.4,3.80,0.071,0.126,0.72,0.006,2940420,正常
湖南省,长江流域,大通湖,04-04 20:00,Ⅴ,13.2,7.90,10.18,346.7,63.2,3.78,0.063,0.121,0.72,0.009,2839260,正常
湖南省,长江流域,大通湖,04-05 00:00,Ⅴ,13.1,7.93,10.02,346.6,60.8,3.62,0.054,0.118,0.72,0.006,2570720,正常
湖南省,长江流域,大通湖,04-05 04:00,Ⅴ,12.9,7.91,9.94,346.6,58.3,3.69,0.061,0.124,0.68,0.006,2549570,正常
