省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
湖南省,长江流域,武水汇合口,04-01 08:00,Ⅱ,16.4,7.34,9.45,202.3,6.3,1.05,0.025,0.039,1.22,*,*,正常
湖南省,长江流域,武水汇合口,04-01 12:00,Ⅱ,16.6,7.50,9.82,183.3,6.5,1.08,0.025,0.036,1.26,*,*,正常
湖南省,长江流域,武水汇合口,04-01 16:00,Ⅱ,16.8,7.65,10.28,186.2,6.8,1.08,0.025,0.036,1.26,*,*,正常
湖南省,长江流域,武水汇合口,04-01 20:00,Ⅱ,16.6,7.50,9.61,185.6,7.2,0.98,0.025,0.038,1.31,*,*,正常
湖南省,长江流域,武水汇合口,04-02 00:00,Ⅱ,16.4,7.38,9.41,184.3,7.5,0.98,0.025,0.036,1.31,*,*,正常
湖南省,长江流域,武水汇合口,04-02 00:00,Ⅱ,16.4,7.38,9.41,184.3,7.5,0.98,0.025,0.036,1.31,*,*,正常
湖南省,长江流域,武水汇合口,04-02 08:00,Ⅱ,16.2,7.37,9.44,189.0,54.1,1.20,0.038,0.052,1.49,*,*,正常
湖南省,长江流域,武水汇合口,04-02 12:00,Ⅱ,16.5,7.40,9.45,190.8,33.5,1.69,0.025,0.067,1.67,*,*,正常
湖南省,长江流域,武水汇合口,04-02 16:00,Ⅱ,16.5,7.47,9.69,190.0,21.5,1.28,0.025,0.051,1.58,*,*,正常
湖南省,长江流域,武水汇合口,04-02 20:00,Ⅱ,16.4,7.43,9.54,187.7,16.4,1.19,0.025,0.047,1.30,*,*,正常
湖南省,长江流域,武水汇合口,04-03 00:00,Ⅱ,16.2,7.35,9.32,184.9,16.3,1.13,0.025,0.043,1.26,*,*,正常
湖南省,长江流域,武水汇合口,04-03 00:00,Ⅱ,16.2,7.35,9.32,184.9,16.3,1.13,0.025,0.043,1.26,*,*,正常
湖南省,长江流域,武水汇合口,04-03 08:00,Ⅱ,16.3,7.35,9.31,185.5,17.4,1.27,0.025,0.047,1.25,*,*,正常
湖南省,长江流域,武水汇合口,04-03 12:00,Ⅱ,16.7,7.41,9.45,190.3,15.4,1.11,0.025,0.046,1.25,*,*,正常
湖南省,长江流域,武水汇合口,04-03 16:00,Ⅱ,16.9,7.50,9.85,187.9,13.4,1.15,0.025,0.043,1.25,*,*,正常
湖南省,长江流域,武水汇合口,04-03 20:00,Ⅱ,16.5,7.44,9.62,185.3,10.5,1.14,0.025,0.043,1.29,*,*,正常
湖南省,长江流域,武水汇合口,04-04 00:00,Ⅱ,16.3,7.33,9.32,183.8,11.1,1.05,0.025,0.041,1.31,*,*,正常
湖南省,长江流域,武水汇合口,04-04 00:00,Ⅱ,16.3,7.33,9.32,183.8,11.1,1.05,0.025,0.041,1.31,*,*,正常
湖南省,长江流域,武水汇合口,04-04 04:00,Ⅱ,16.1,7.28,9.23,183.4,13.9,0.97,0.025,0.043,1.21,*,*,正常
