省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
甘肃省,黄河流域,葡萄园(牛背),04-01 04:00,Ⅲ,12.2,8.23,8.91,1013.0,1775.1,2.55,0.045,0.100,7.04,*,*,正常
甘肃省,黄河流域,葡萄园(牛背),04-01 08:00,Ⅲ,12.0,8.22,9.07,994.0,2254.9,2.59,0.040,0.104,6.95,*,*,正常
甘肃省,黄河流域,葡萄园(牛背),04-01 12:00,Ⅲ,11.9,8.21,9.20,970.2,1899.0,2.89,0.040,0.123,7.09,*,*,正常
甘肃省,黄河流域,葡萄园(牛背),04-01 16:00,Ⅲ,12.0,8.22,9.17,940.9,2439.3,2.59,0.037,0.101,6.75,*,*,正常
甘肃省,黄河流域,葡萄园(牛背),04-01 20:00,Ⅲ,11.8,8.22,9.06,948.1,2309.3,2.49,0.037,0.105,6.75,*,*,正常
甘肃省,黄河流域,葡萄园(牛背),04-02 00:00,Ⅲ,11.7,8.23,9.14,943.3,1860.7,2.84,0.030,0.121,6.75,*,*,正常
甘肃省,黄河流域,葡萄园(牛背),04-02 04:00,Ⅲ,11.5,8.17,9.20,930.0,1767.6,3.46,0.051,0.138,6.75,*,*,正常
甘肃省,黄河流域,葡萄园(牛背),04-02 08:00,Ⅲ,11.3,8.11,9.28,886.6,2051.9,3.69,0.197,0.156,6.75,*,*,正常
甘肃省,黄河流域,葡萄园(牛背),04-02 12:00,Ⅲ,11.3,8.11,9.28,871.7,2472.3,3.34,0.122,0.145,6.75,*,*,正常
甘肃省,黄河流域,葡萄园(牛背),04-02 16:00,Ⅲ,11.5,8.08,9.18,868.5,3023.1,3.11,0.043,0.124,7.21,*,*,正常
甘肃省,黄河流域,葡萄园(牛背),04-02 20:00,Ⅲ,11.5,8.09,9.12,841.3,2827.4,3.10,0.061,0.120,6.56,*,*,正常
甘肃省,黄河流域,葡萄园(牛背),04-03 00:00,Ⅲ,11.3,8.09,9.16,792.1,3522.4,3.17,0.048,0.124,6.28,*,*,正常
甘肃省,黄河流域,葡萄园(牛背),04-03 04:00,Ⅲ,11.3,8.09,9.20,773.3,3534.5,3.36,0.075,0.127,6.62,*,*,正常
甘肃省,黄河流域,葡萄园(牛背),04-03 08:00,Ⅲ,11.0,8.08,9.26,776.1,3535.7,3.20,0.068,0.131,6.68,*,*,正常
甘肃省,黄河流域,葡萄园(牛背),04-03 12:00,Ⅲ,11.0,8.07,9.22,794.9,3429.1,3.26,0.064,0.125,6.65,*,*,正常
甘肃省,黄河流域,葡萄园(牛背),04-03 16:00,Ⅲ,11.1,8.04,9.14,770.9,3153.0,3.78,0.090,0.145,6.75,*,*,正常
甘肃省,黄河流域,葡萄园(牛背),04-03 20:00,Ⅲ,11.0,8.03,9.19,770.3,3896.0,3.45,0.220,0.128,6.62,*,*,正常
甘肃省,黄河流域,葡萄园(牛背),04-04 00:00,Ⅲ,11.0,8.03,9.17,766.4,3911.1,3.20,0.200,0.112,6.62,*,*,正常
甘肃省,黄河流域,葡萄园(牛背),*,*,--,--,--,--,--,--,--,--,--,*,*,维护
甘肃省,黄河流域,葡萄园(牛背),04-04 04:00,Ⅲ,10.9,8.02,9.13,743.4,3826.6,3.07,0.134,0.109,6.41,*,*,正常
甘肃省,黄河流域,葡萄园(牛背),04-04 12:00,*,0.1,--,--,2925.7,--,2.88,0.064,0.106,6.09,*,*,维护
甘肃省,黄河流域,葡萄园(牛背),04-04 16:00,*,--,--,--,0.0001,--,3.11,0.076,0.116,6.18,*,*,维护
甘肃省,黄河流域,葡萄园(牛背),04-04 16:00,*,--,--,--,0.0001,--,3.11,0.076,0.116,6.18,*,*,维护
