省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
福建省,浙闽片河流,古田黄田,04-01 04:00,Ⅱ,21.8,7.24,7.68,161.6,9.7,2.75,0.065,0.050,1.89,*,*,正常
福建省,浙闽片河流,古田黄田,04-01 12:00,Ⅱ,23.7,7.36,8.34,166.9,11.0,3.23,0.087,0.074,2.05,*,*,正常
福建省,浙闽片河流,古田黄田,04-01 12:00,Ⅱ,23.7,7.36,8.34,166.9,11.0,3.23,0.087,0.074,2.05,*,*,正常
福建省,浙闽片河流,古田黄田,04-01 16:00,Ⅲ,25.0,7.46,8.53,162.6,11.5,4.76,0.086,0.130,2.31,*,*,正常
福建省,浙闽片河流,古田黄田,04-01 20:00,Ⅱ,23.8,7.42,8.54,155.8,9.9,3.32,0.078,0.069,2.00,*,*,正常
福建省,浙闽片河流,古田黄田,04-02 00:00,Ⅱ,23.4,7.42,8.48,156.4,10.0,3.14,0.053,0.061,1.91,*,*,正常
福建省,浙闽片河流,古田黄田,04-02 04:00,Ⅱ,23.0,7.43,8.46,158.4,9.8,2.91,0.053,0.053,1.94,*,*,正常
福建省,浙闽片河流,古田黄田,04-02 08:00,Ⅳ,23.3,7.22,7.35,135.4,9.9,7.17,0.049,0.061,1.94,*,*,正常
福建省,浙闽片河流,古田黄田,04-02 12:00,Ⅱ,24.6,7.68,9.35,153.2,11.5,3.34,0.040,0.070,1.98,*,*,正常
福建省,浙闽片河流,古田黄田,04-02 16:00,Ⅲ,25.7,8.14,10.17,160.0,15.4,4.25,0.073,0.086,2.05,*,*,正常
福建省,浙闽片河流,古田黄田,04-02 20:00,Ⅱ,24.6,7.98,9.82,152.8,13.8,3.67,0.072,0.065,1.88,*,*,正常
福建省,浙闽片河流,古田黄田,04-03 00:00,Ⅱ,24.1,7.84,9.42,154.1,11.8,3.19,0.072,0.058,1.90,*,*,正常
福建省,浙闽片河流,古田黄田,04-03 04:00,Ⅱ,23.8,7.54,8.73,156.3,9.9,2.95,0.050,0.050,1.84,*,*,正常
福建省,浙闽片河流,古田黄田,04-03 08:00,Ⅱ,24.1,7.39,7.69,154.7,8.7,3.35,0.062,0.059,1.88,*,*,正常
福建省,浙闽片河流,古田黄田,04-03 12:00,Ⅱ,26.3,7.70,8.85,158.7,9.1,3.13,0.064,0.061,1.91,*,*,正常
福建省,浙闽片河流,古田黄田,04-03 16:00,Ⅱ,25.6,7.62,10.38,148.0,9.8,3.22,0.085,0.063,1.89,*,*,正常
福建省,浙闽片河流,古田黄田,04-03 20:00,Ⅱ,24.9,7.91,10.85,151.0,9.6,2.85,0.077,0.055,1.85,*,*,正常
福建省,浙闽片河流,古田黄田,04-04 00:00,Ⅱ,24.1,7.29,9.63,152.1,8.4,2.88,0.078,0.047,1.78,*,*,正常
