省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
福建省,浙闽片河流,安溪罗内桥,04-01 08:00,Ⅲ,23.4,6.99,5.75,162.3,16.5,2.79,0.637,0.053,4.70,*,*,正常
福建省,浙闽片河流,安溪罗内桥,04-01 12:00,Ⅲ,26.3,7.01,6.50,169.2,16.2,3.82,0.568,0.072,4.85,*,*,正常
福建省,浙闽片河流,安溪罗内桥,04-01 16:00,Ⅲ,26.8,6.94,6.57,169.7,15.9,3.82,0.568,0.072,4.85,*,*,正常
福建省,浙闽片河流,安溪罗内桥,04-01 20:00,Ⅲ,25.0,7.02,7.01,164.9,16.3,3.19,0.552,0.061,4.66,*,*,正常
福建省,浙闽片河流,安溪罗内桥,04-02 00:00,Ⅱ,24.3,6.99,6.17,162.8,15.5,3.56,0.483,0.070,4.73,*,*,正常
福建省,浙闽片河流,安溪罗内桥,04-02 04:00,Ⅱ,24.2,6.99,6.44,162.3,14.8,3.56,0.483,0.070,4.73,*,*,正常
福建省,浙闽片河流,安溪罗内桥,04-02 08:00,Ⅲ,24.6,7.00,6.62,162.5,14.5,3.27,0.526,0.068,4.65,*,*,正常
福建省,浙闽片河流,安溪罗内桥,04-02 12:00,Ⅲ,29.0,6.96,6.66,172.4,15.7,4.04,0.442,0.067,4.70,*,*,正常
福建省,浙闽片河流,安溪罗内桥,04-02 16:00,Ⅲ,27.3,6.80,5.66,158.6,20.1,4.84,0.378,0.079,4.76,*,*,正常
福建省,浙闽片河流,安溪罗内桥,04-02 20:00,Ⅲ,24.6,6.92,6.13,151.8,20.2,3.52,0.540,0.071,4.38,*,*,正常
福建省,浙闽片河流,安溪罗内桥,04-03 00:00,Ⅲ,24.4,6.90,5.80,150.6,20.0,3.23,0.593,0.081,4.32,*,*,正常
福建省,浙闽片河流,安溪罗内桥,04-03 04:00,Ⅲ,24.0,6.92,6.00,149.0,19.9,3.23,0.593,0.081,4.32,*,*,正常
