省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
福建省,浙闽片河流,斑竹溪渡口,04-01 04:00,Ⅱ,21.5,7.26,6.08,268.8,13.4,1.50,0.274,0.082,2.37,*,*,正常
福建省,浙闽片河流,斑竹溪渡口,04-01 12:00,Ⅲ,22.3,7.13,6.21,278.8,13.6,2.55,0.268,0.174,3.00,*,*,正常
福建省,浙闽片河流,斑竹溪渡口,04-01 12:00,Ⅲ,22.3,7.13,6.21,278.8,13.6,2.55,0.268,0.174,3.00,*,*,正常
福建省,浙闽片河流,斑竹溪渡口,04-01 16:00,Ⅲ,22.7,7.14,6.48,279.6,13.6,2.44,0.227,0.129,2.82,*,*,正常
福建省,浙闽片河流,斑竹溪渡口,04-01 20:00,Ⅱ,22.9,7.05,6.47,280.5,12.8,2.14,0.238,0.087,2.42,*,*,正常
福建省,浙闽片河流,斑竹溪渡口,04-02 00:00,Ⅱ,23.0,7.06,6.41,281.0,11.8,1.98,0.252,0.085,2.48,*,*,正常
福建省,浙闽片河流,斑竹溪渡口,04-02 04:00,Ⅱ,22.5,7.07,6.30,280.3,12.5,2.08,0.280,0.089,2.48,*,*,正常
福建省,浙闽片河流,斑竹溪渡口,04-02 08:00,Ⅲ,22.0,7.04,5.91,280.6,13.2,1.88,0.289,0.084,2.47,*,*,正常
福建省,浙闽片河流,斑竹溪渡口,04-02 12:00,Ⅲ,23.1,6.94,5.96,278.2,13.4,2.07,0.307,0.095,2.55,*,*,正常
福建省,浙闽片河流,斑竹溪渡口,04-02 16:00,Ⅱ,24.2,6.99,6.06,278.6,12.7,1.91,0.290,0.087,2.47,*,*,正常
福建省,浙闽片河流,斑竹溪渡口,04-02 20:00,Ⅱ,23.3,7.02,6.16,277.8,12.7,1.85,0.290,0.084,2.54,*,*,正常
福建省,浙闽片河流,斑竹溪渡口,04-03 00:00,Ⅱ,21.9,6.97,5.85,277.4,13.6,1.98,0.274,0.083,2.48,*,*,正常
福建省,浙闽片河流,斑竹溪渡口,04-03 04:00,Ⅲ,21.9,7.00,5.80,277.6,17.4,1.88,0.278,0.076,2.34,*,*,正常
福建省,浙闽片河流,斑竹溪渡口,04-03 08:00,Ⅲ,22.1,7.00,5.91,277.4,12.8,2.00,0.271,0.081,2.43,*,*,正常
福建省,浙闽片河流,斑竹溪渡口,04-03 12:00,Ⅱ,22.3,7.07,6.13,277.3,17.6,2.07,0.412,0.076,2.42,*,*,正常
福建省,浙闽片河流,斑竹溪渡口,04-03 16:00,Ⅱ,23.6,7.19,6.72,277.3,17.4,2.13,0.441,0.083,2.53,*,*,正常
福建省,浙闽片河流,斑竹溪渡口,04-03 20:00,Ⅲ,23.4,7.26,6.99,277.6,17.0,2.15,0.494,0.101,2.57,*,*,正常
福建省,浙闽片河流,斑竹溪渡口,04-04 00:00,Ⅲ,22.6,7.15,6.42,278.3,18.0,2.45,0.488,0.096,2.60,*,*,正常
福建省,浙闽片河流,斑竹溪渡口,04-04 04:00,Ⅱ,22.2,7.11,6.20,277.8,17.8,2.17,0.500,0.097,2.54,*,*,正常
福建省,浙闽片河流,斑竹溪渡口,04-04 04:00,Ⅱ,22.2,7.11,6.20,277.8,17.8,2.17,0.500,0.097,2.54,*,*,正常
