省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
福建省,浙闽片河流,浦南水文站,04-01 08:00,*,23.7,7.33,7.43,300.2,0.4,3.15,0.054,--,1.97,*,*,维护
福建省,浙闽片河流,浦南水文站,04-01 12:00,Ⅱ,24.9,7.36,8.47,296.6,1.5,3.06,0.056,0.005,1.87,*,*,正常
福建省,浙闽片河流,浦南水文站,04-01 16:00,Ⅱ,25.5,7.43,8.80,297.2,0.4,3.06,0.056,0.005,1.87,*,*,正常
福建省,浙闽片河流,浦南水文站,04-01 16:00,Ⅱ,25.5,7.43,8.80,297.2,0.4,3.32,0.066,0.041,1.90,*,*,正常
福建省,浙闽片河流,浦南水文站,04-01 20:00,Ⅱ,24.6,7.41,8.12,297.2,0.8,3.11,0.049,0.036,1.88,*,*,正常
福建省,浙闽片河流,浦南水文站,04-02 00:00,Ⅱ,24.2,7.40,7.34,298.6,3.9,3.19,0.072,0.035,1.84,*,*,正常
福建省,浙闽片河流,浦南水文站,04-02 08:00,Ⅱ,24.1,7.39,7.27,289.7,0.3,3.06,0.052,0.036,1.89,*,*,正常
福建省,浙闽片河流,浦南水文站,04-02 12:00,Ⅱ,26.9,7.67,9.01,289.0,6.0,3.37,0.033,0.035,1.81,*,*,正常
福建省,浙闽片河流,浦南水文站,04-02 16:00,Ⅲ,25.8,7.52,8.15,286.0,2.0,4.06,0.076,0.044,2.08,*,*,正常
福建省,浙闽片河流,浦南水文站,04-02 16:00,Ⅱ,25.8,7.52,8.15,286.0,2.0,3.25,0.059,0.040,1.80,*,*,正常
福建省,浙闽片河流,浦南水文站,04-02 20:00,Ⅱ,25.1,7.51,7.85,285.2,5.7,3.04,0.088,0.040,1.77,*,*,正常
福建省,浙闽片河流,浦南水文站,04-03 00:00,Ⅱ,24.8,7.50,7.70,283.8,0.3,2.97,0.065,0.034,1.81,*,*,正常
福建省,浙闽片河流,浦南水文站,04-03 08:00,*,24.6,7.44,7.60,279.1,1.1,2.99,0.047,--,1.82,*,*,维护
福建省,浙闽片河流,浦南水文站,04-03 12:00,*,25.1,7.46,7.86,281.2,3.9,3.28,0.044,--,1.77,*,*,维护
福建省,浙闽片河流,浦南水文站,04-03 12:00,Ⅱ,25.1,7.46,7.86,281.2,3.9,3.37,0.040,0.041,1.73,*,*,正常
福建省,浙闽片河流,浦南水文站,04-03 16:00,Ⅱ,25.6,7.52,8.05,277.0,1.1,3.20,0.027,0.040,1.72,*,*,正常
福建省,浙闽片河流,浦南水文站,04-03 20:00,Ⅱ,25.0,7.51,8.12,276.3,1.3,3.17,0.028,0.038,1.71,*,*,正常
福建省,浙闽片河流,浦南水文站,04-04 00:00,Ⅱ,24.6,7.47,7.67,276.5,2.8,3.12,0.055,0.037,1.77,*,*,正常
福建省,浙闽片河流,浦南水文站,04-04 04:00,Ⅱ,24.2,7.45,7.10,278.5,1.8,3.20,0.046,0.039,1.74,*,*,正常
福建省,浙闽片河流,浦南水文站,04-04 08:00,Ⅱ,23.8,7.34,6.53,287.0,1.8,3.23,0.052,0.046,1.85,*,*,正常
