省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
福建省,浙闽片河流,福安赛岐,04-01 04:00,Ⅳ,20.4,7.13,9.13,6372.8,387.6,6.59,0.085,0.244,3.44,*,*,正常
福建省,浙闽片河流,福安赛岐,04-01 12:00,Ⅳ,20.3,6.98,8.34,10114.3,497.3,7.05,0.137,0.253,5.20,*,*,正常
福建省,浙闽片河流,福安赛岐,04-01 12:00,Ⅳ,20.3,6.98,8.34,10114.3,497.3,7.05,0.137,0.253,5.20,*,*,正常
福建省,浙闽片河流,福安赛岐,04-01 16:00,Ⅳ,20.7,7.13,8.31,5769.4,396.5,5.61,0.073,0.210,3.11,*,*,正常
福建省,浙闽片河流,福安赛岐,04-01 20:00,劣Ⅴ,20.7,7.00,7.91,917.2,432.3,8.60,0.073,0.416,5.00,*,*,正常
福建省,浙闽片河流,福安赛岐,04-02 00:00,劣Ⅴ,22.1,6.94,8.71,0.03,697.7,0.37,0.025,0.034,--,*,*,维护
福建省,浙闽片河流,福安赛岐,04-02 04:00,Ⅲ,20.4,7.15,8.62,8138.9,402.5,5.75,0.082,0.194,3.05,*,*,正常
福建省,浙闽片河流,福安赛岐,04-02 08:00,Ⅳ,20.8,7.05,8.25,1318.2,416.3,7.35,0.050,0.241,3.19,*,*,正常
福建省,浙闽片河流,福安赛岐,04-02 12:00,劣Ⅴ,20.4,6.94,5.69,6818.8,397.1,7.80,0.114,0.402,5.31,*,*,正常
福建省,浙闽片河流,福安赛岐,04-02 16:00,Ⅳ,20.7,7.15,5.90,7040.5,166.7,6.31,0.077,0.230,3.22,*,*,正常
福建省,浙闽片河流,福安赛岐,04-02 20:00,劣Ⅴ,20.9,7.05,5.79,1100.1,383.4,9.96,0.085,0.525,5.93,*,*,正常
福建省,浙闽片河流,福安赛岐,04-03 00:00,劣Ⅴ,20.7,7.05,5.46,4501.9,402.0,9.72,0.106,0.496,6.96,*,*,正常
福建省,浙闽片河流,福安赛岐,04-03 04:00,Ⅲ,20.5,7.25,5.87,9290.2,197.8,5.06,0.087,0.162,3.01,*,*,正常
福建省,浙闽片河流,福安赛岐,04-03 08:00,Ⅲ,20.7,7.13,6.04,1644.2,211.4,5.85,0.027,0.101,2.32,*,*,正常
福建省,浙闽片河流,福安赛岐,04-03 12:00,Ⅴ,21.0,7.09,5.88,4280.6,415.8,8.87,0.091,0.377,4.59,*,*,正常
福建省,浙闽片河流,福安赛岐,04-03 16:00,Ⅳ,20.8,7.24,6.03,9436.0,248.0,5.81,0.096,0.205,3.11,*,*,正常
福建省,浙闽片河流,福安赛岐,04-03 20:00,Ⅳ,21.2,7.15,5.96,1345.7,251.8,6.15,0.046,0.152,2.52,*,*,正常
福建省,浙闽片河流,福安赛岐,04-04 00:00,Ⅳ,21.1,7.07,5.73,2088.4,523.9,10.45,0.087,0.520,7.58,*,*,正常
福建省,浙闽片河流,福安赛岐,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
福建省,浙闽片河流,福安赛岐,04-04 08:00,Ⅲ,21.0,7.17,5.90,2173.9,243.1,5.04,0.041,0.097,2.20,*,*,正常
福建省,浙闽片河流,福安赛岐,04-04 12:00,Ⅳ,20.9,7.13,5.89,3153.0,286.9,7.42,0.077,0.279,3.51,*,*,正常
