省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
福建省,浙闽片河流,福鼎会甲溪,04-01 04:00,Ⅲ,17.6,7.58,7.83,81.4,44.2,4.18,0.171,*,*,*,*,正常
福建省,浙闽片河流,福鼎会甲溪,04-01 12:00,Ⅱ,19.5,7.57,7.92,86.8,36.0,3.51,0.156,*,*,*,*,正常
福建省,浙闽片河流,福鼎会甲溪,04-01 12:00,Ⅱ,19.5,7.57,7.92,86.8,36.0,3.51,0.156,*,*,*,*,正常
福建省,浙闽片河流,福鼎会甲溪,04-01 16:00,Ⅱ,20.5,7.49,7.98,91.7,47.5,4.00,0.155,*,*,*,*,正常
福建省,浙闽片河流,福鼎会甲溪,04-01 20:00,Ⅱ,19.2,7.57,7.76,86.2,40.8,3.81,0.158,*,*,*,*,正常
福建省,浙闽片河流,福鼎会甲溪,04-01 20:00,Ⅱ,19.2,7.57,7.76,86.2,40.8,3.81,0.158,*,*,*,*,正常
福建省,浙闽片河流,福鼎会甲溪,04-02 04:00,Ⅱ,18.7,7.54,7.54,88.1,25.6,3.60,0.158,*,*,*,*,正常
福建省,浙闽片河流,福鼎会甲溪,04-02 08:00,Ⅱ,19.0,7.48,7.44,92.2,26.0,3.81,0.154,*,*,*,*,正常
福建省,浙闽片河流,福鼎会甲溪,04-02 12:00,Ⅱ,21.7,7.65,7.72,97.2,26.1,3.88,0.155,*,*,*,*,正常
福建省,浙闽片河流,福鼎会甲溪,04-02 16:00,Ⅱ,22.8,7.53,7.90,97.5,25.2,3.88,0.160,*,*,*,*,正常
福建省,浙闽片河流,福鼎会甲溪,04-02 20:00,Ⅱ,20.8,7.59,7.63,82.8,27.4,3.78,0.160,*,*,*,*,正常
福建省,浙闽片河流,福鼎会甲溪,04-02 20:00,Ⅱ,20.8,7.59,7.63,82.8,27.4,3.78,0.160,*,*,*,*,正常
福建省,浙闽片河流,福鼎会甲溪,04-03 04:00,Ⅲ,19.8,7.51,7.33,81.7,27.6,4.15,0.159,*,*,*,*,正常
福建省,浙闽片河流,福鼎会甲溪,04-03 08:00,Ⅱ,19.8,7.46,7.13,83.3,25.0,3.63,0.161,*,*,*,*,正常
福建省,浙闽片河流,福鼎会甲溪,04-03 12:00,Ⅱ,20.3,7.58,7.48,88.9,18.9,3.51,0.162,*,*,*,*,正常
福建省,浙闽片河流,福鼎会甲溪,04-03 16:00,Ⅱ,21.6,7.46,7.75,93.9,17.4,3.69,0.164,*,*,*,*,正常
福建省,浙闽片河流,福鼎会甲溪,04-03 20:00,Ⅱ,20.7,7.59,7.71,93.0,24.9,3.48,0.157,*,*,*,*,正常
福建省,浙闽片河流,福鼎会甲溪,04-03 20:00,Ⅱ,20.7,7.59,7.71,93.0,24.9,3.48,0.157,*,*,*,*,正常
