省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
福建省,浙闽片河流,长泰洛宾,04-01 08:00,Ⅲ,25.5,6.91,5.15,517.0,43.8,4.67,0.435,0.087,3.83,*,*,正常
福建省,浙闽片河流,长泰洛宾,04-01 12:00,Ⅳ,28.2,7.38,7.46,512.0,38.4,7.11,0.315,0.086,3.59,*,*,正常
福建省,浙闽片河流,长泰洛宾,04-01 16:00,Ⅳ,29.9,7.34,7.46,508.1,38.4,7.11,0.315,0.086,3.59,*,*,正常
福建省,浙闽片河流,长泰洛宾,04-01 20:00,Ⅳ,27.2,6.79,8.27,520.5,36.9,8.19,0.218,0.082,3.62,*,*,正常
福建省,浙闽片河流,长泰洛宾,04-02 00:00,Ⅲ,26.4,6.84,7.17,526.6,34.1,5.91,0.238,0.073,3.73,*,*,正常
福建省,浙闽片河流,长泰洛宾,04-02 04:00,Ⅲ,26.0,6.81,6.69,532.1,34.2,5.91,0.250,0.073,3.73,*,*,正常
福建省,浙闽片河流,长泰洛宾,04-02 08:00,Ⅲ,26.6,7.01,6.69,542.4,32.9,5.79,0.180,0.058,3.41,*,*,正常
福建省,浙闽片河流,长泰洛宾,04-02 12:00,Ⅲ,31.0,7.35,7.03,548.6,33.4,5.39,0.310,0.062,4.01,*,*,正常
福建省,浙闽片河流,长泰洛宾,04-02 16:00,Ⅳ,31.4,6.96,7.03,540.9,28.3,6.68,0.138,0.060,3.69,*,*,正常
福建省,浙闽片河流,长泰洛宾,04-02 20:00,Ⅳ,27.1,6.76,7.77,544.7,33.7,7.52,0.190,0.062,3.64,*,*,正常
福建省,浙闽片河流,长泰洛宾,04-03 00:00,Ⅲ,26.6,6.84,6.65,414.3,30.5,5.70,0.219,0.061,3.37,*,*,正常
福建省,浙闽片河流,长泰洛宾,04-03 04:00,Ⅲ,26.4,6.88,6.82,260.1,49.5,5.70,0.219,0.113,3.37,*,*,正常
福建省,浙闽片河流,长泰洛宾,04-03 08:00,Ⅱ,26.6,6.84,6.82,248.0,51.3,3.85,0.209,0.097,3.04,*,*,正常
