省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
福建省,珠江流域,长汀美溪桥,04-01 08:00,Ⅱ,21.6,6.84,8.31,149.2,9.9,1.94,0.101,0.069,1.10,*,*,正常
福建省,珠江流域,长汀美溪桥,04-01 12:00,Ⅱ,22.4,6.93,8.32,155.4,8.2,2.32,0.106,0.072,1.12,*,*,正常
福建省,珠江流域,长汀美溪桥,04-01 16:00,Ⅱ,22.2,6.98,8.09,158.1,12.1,2.32,0.106,0.072,1.12,*,*,正常
福建省,珠江流域,长汀美溪桥,04-01 20:00,Ⅱ,22.0,6.96,8.08,163.9,12.0,1.90,0.155,0.081,1.11,*,*,正常
福建省,珠江流域,长汀美溪桥,04-02 00:00,Ⅱ,21.6,6.80,7.36,163.1,3.9,1.47,0.145,0.078,1.09,*,*,正常
福建省,珠江流域,长汀美溪桥,04-02 04:00,Ⅱ,21.4,6.75,6.96,163.2,4.6,1.47,0.145,0.078,1.09,*,*,正常
福建省,珠江流域,长汀美溪桥,04-02 08:00,Ⅱ,21.3,6.68,6.40,163.5,5.3,1.88,0.075,0.072,1.21,*,*,正常
福建省,珠江流域,长汀美溪桥,04-02 12:00,Ⅱ,21.8,6.82,7.40,162.4,6.3,2.29,0.063,0.075,1.11,*,*,正常
福建省,珠江流域,长汀美溪桥,04-02 16:00,Ⅱ,21.9,6.85,7.37,164.9,4.8,1.75,0.086,0.072,1.17,*,*,正常
福建省,珠江流域,长汀美溪桥,04-02 20:00,Ⅱ,21.7,6.82,7.42,166.2,8.0,1.78,0.069,0.067,1.13,*,*,正常
福建省,珠江流域,长汀美溪桥,04-03 00:00,Ⅱ,21.6,6.76,7.11,165.6,4.4,1.81,0.089,0.064,1.11,*,*,正常
福建省,珠江流域,长汀美溪桥,04-03 04:00,Ⅱ,21.4,6.72,6.87,166.1,4.4,1.81,0.089,0.064,1.11,*,*,正常
福建省,珠江流域,长汀美溪桥,04-03 08:00,Ⅱ,21.4,6.71,6.86,165.7,3.5,1.66,0.066,0.064,1.17,*,*,正常
福建省,珠江流域,长汀美溪桥,04-03 12:00,Ⅱ,22.5,6.72,6.76,165.3,3.4,1.70,0.058,0.064,1.09,*,*,正常
福建省,珠江流域,长汀美溪桥,04-03 16:00,Ⅱ,23.4,6.74,6.69,165.4,2.7,2.39,0.058,0.064,1.13,*,*,正常
福建省,珠江流域,长汀美溪桥,04-03 20:00,Ⅱ,23.6,6.96,8.70,169.2,4.1,1.47,0.054,0.068,1.14,*,*,正常
福建省,珠江流域,长汀美溪桥,04-04 00:00,Ⅱ,23.1,6.82,7.84,168.9,2.3,2.00,0.069,0.068,1.13,*,*,正常
福建省,珠江流域,长汀美溪桥,04-04 04:00,Ⅱ,22.7,6.73,7.11,168.2,2.1,2.00,0.069,0.068,1.13,*,*,正常
福建省,珠江流域,长汀美溪桥,04-04 04:00,*,22.7,6.73,7.11,168.2,2.1,--,--,--,--,*,*,维护
福建省,珠江流域,长汀美溪桥,04-04 08:00,Ⅱ,22.3,6.66,6.56,165.8,2.0,1.80,0.047,0.070,1.06,*,*,正常
福建省,珠江流域,长汀美溪桥,04-04 12:00,Ⅱ,22.6,6.66,6.49,166.3,1.8,1.67,0.041,0.072,1.13,*,*,正常
福建省,珠江流域,长汀美溪桥,04-04 16:00,Ⅱ,22.9,6.86,7.82,176.1,4.0,2.07,0.060,0.068,1.18,*,*,正常
福建省,珠江流域,长汀美溪桥,04-04 20:00,Ⅱ,22.7,6.88,8.09,200.3,4.5,2.06,0.076,0.071,1.22,*,*,正常
福建省,珠江流域,长汀美溪桥,04-05 00:00,Ⅱ,22.4,6.80,7.62,199.1,3.0,2.06,0.076,0.071,1.22,*,*,正常
福建省,珠江流域,长汀美溪桥,04-05 04:00,Ⅱ,22.0,6.72,6.99,200.3,2.2,1.82,0.045,0.068,1.10,*,*,正常
福建省,珠江流域,长汀美溪桥,04-05 08:00,Ⅱ,21.7,6.66,6.34,199.8,2.2,1.82,0.046,0.070,1.13,*,*,正常
福建省,珠江流域,长汀美溪桥,04-05 12:00,Ⅱ,21.5,6.72,7.06,197.7,2.0,2.05,0.044,0.074,1.24,*,*,正常
