省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
贵州省,珠江流域,坝草,04-01 04:00,Ⅰ,21.1,8.76,8.38,330.5,3.2,0.28,0.025,0.006,1.95,*,*,正常
贵州省,珠江流域,坝草,04-01 12:00,Ⅰ,21.8,8.76,8.34,330.4,3.4,0.38,0.025,0.007,1.82,*,*,正常
贵州省,珠江流域,坝草,04-01 16:00,Ⅰ,23.2,8.77,8.14,330.2,4.0,0.38,0.025,0.007,1.82,*,*,正常
贵州省,珠江流域,坝草,04-01 20:00,Ⅰ,22.1,8.78,8.43,329.5,3.1,0.54,0.025,0.008,1.88,*,*,正常
贵州省,珠江流域,坝草,04-02 00:00,Ⅰ,22.3,8.79,8.14,329.9,3.2,0.47,0.025,0.008,1.90,*,*,正常
贵州省,珠江流域,坝草,04-02 00:00,Ⅰ,22.3,8.79,8.14,329.9,3.2,0.47,0.025,0.008,1.90,*,*,正常
贵州省,珠江流域,坝草,04-02 08:00,Ⅰ,21.4,8.78,8.41,327.9,3.6,0.44,0.025,0.006,1.85,*,*,正常
贵州省,珠江流域,坝草,04-02 12:00,Ⅰ,22.4,8.79,8.37,327.4,3.8,0.41,0.025,0.007,2.10,*,*,正常
贵州省,珠江流域,坝草,04-02 16:00,Ⅰ,22.6,8.81,8.42,326.7,3.7,0.46,0.025,0.007,2.00,*,*,正常
贵州省,珠江流域,坝草,04-02 20:00,Ⅰ,22.5,8.81,8.43,326.9,3.8,0.52,0.025,0.006,2.01,*,*,正常
