省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
贵州省,珠江流域,黄泥河,04-01 04:00,Ⅰ,18.8,8.29,7.96,440.7,33.8,1.01,0.025,0.018,1.69,*,*,正常
贵州省,珠江流域,黄泥河,04-01 12:00,Ⅰ,19.0,8.32,8.54,439.6,27.7,0.76,0.025,0.013,1.97,*,*,正常
贵州省,珠江流域,黄泥河,04-01 16:00,Ⅰ,20.9,8.57,10.19,427.7,35.2,0.76,0.025,0.013,1.97,*,*,正常
贵州省,珠江流域,黄泥河,04-01 20:00,Ⅰ,20.1,8.37,8.30,436.3,39.2,0.84,0.025,0.019,2.09,*,*,正常
贵州省,珠江流域,黄泥河,04-02 00:00,Ⅱ,19.4,8.26,7.87,445.2,41.1,1.03,0.025,0.022,2.01,*,*,正常
贵州省,珠江流域,黄泥河,04-02 00:00,Ⅱ,19.4,8.26,7.87,445.2,41.1,1.03,0.025,0.022,2.01,*,*,正常
贵州省,珠江流域,黄泥河,04-02 08:00,Ⅰ,18.1,8.23,7.75,449.8,29.3,0.84,0.025,0.018,1.67,*,*,正常
贵州省,珠江流域,黄泥河,04-02 12:00,Ⅰ,19.0,8.38,9.09,447.2,27.0,0.67,0.025,0.016,1.72,*,*,正常
贵州省,珠江流域,黄泥河,04-02 16:00,Ⅰ,21.5,8.59,10.60,436.4,26.0,0.79,0.025,0.015,1.81,*,*,正常
贵州省,珠江流域,黄泥河,04-02 20:00,Ⅰ,21.0,8.53,9.75,431.1,28.9,0.82,0.025,0.012,2.14,*,*,正常
贵州省,珠江流域,黄泥河,04-03 00:00,Ⅰ,19.3,8.28,7.81,438.3,53.3,0.79,0.025,0.014,1.91,*,*,正常
贵州省,珠江流域,黄泥河,04-03 00:00,Ⅰ,19.3,8.28,7.81,438.3,53.3,0.79,0.025,0.014,1.91,*,*,正常
贵州省,珠江流域,黄泥河,04-03 08:00,Ⅰ,18.7,8.38,8.54,445.7,33.0,0.93,0.025,0.018,1.66,*,*,正常
贵州省,珠江流域,黄泥河,04-03 12:00,Ⅰ,19.5,8.45,9.43,439.4,27.1,1.02,0.025,0.017,2.16,*,*,正常
贵州省,珠江流域,黄泥河,04-03 16:00,Ⅰ,19.8,8.28,7.97,444.7,34.2,0.94,0.025,0.012,1.82,*,*,正常
贵州省,珠江流域,黄泥河,04-03 20:00,Ⅰ,19.7,8.25,7.94,444.7,31.1,0.98,0.025,0.018,2.20,*,*,正常
贵州省,珠江流域,黄泥河,04-04 00:00,Ⅰ,19.4,8.18,7.54,443.3,28.8,0.61,0.025,0.015,2.17,*,*,正常
贵州省,珠江流域,黄泥河,04-04 00:00,Ⅰ,19.4,8.18,7.54,443.3,28.8,0.61,0.025,0.015,2.17,*,*,正常
