省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
贵州省,长江流域,大关桥,04-01 04:00,Ⅰ,13.3,7.58,9.51,411.8,16.4,0.40,0.092,0.011,3.68,*,*,正常
贵州省,长江流域,大关桥,04-01 12:00,Ⅰ,13.7,7.63,9.72,410.5,2.2,0.25,0.096,0.018,3.70,*,*,正常
贵州省,长江流域,大关桥,04-01 12:00,Ⅰ,13.7,7.63,9.72,410.5,2.2,0.25,0.096,0.018,3.70,*,*,正常
贵州省,长江流域,大关桥,04-01 16:00,Ⅰ,13.8,7.62,9.87,409.8,12.0,0.36,0.095,0.013,3.65,*,*,正常
贵州省,长江流域,大关桥,04-01 20:00,Ⅰ,13.5,7.60,9.50,409.4,5.7,0.39,0.096,0.012,3.67,*,*,正常
贵州省,长江流域,大关桥,04-01 20:00,Ⅰ,13.5,7.60,9.50,409.4,5.7,0.39,0.096,0.012,3.67,*,*,正常
贵州省,长江流域,大关桥,04-02 04:00,Ⅰ,13.4,7.58,9.44,409.6,5.9,0.55,0.089,0.012,3.66,*,*,正常
贵州省,长江流域,大关桥,04-02 08:00,Ⅰ,13.4,7.60,9.48,411.1,9.3,0.25,0.091,0.017,3.62,*,*,正常
贵州省,长江流域,大关桥,04-02 12:00,Ⅰ,13.4,7.60,9.59,411.2,4.4,0.25,0.084,0.013,3.69,*,*,正常
贵州省,长江流域,大关桥,04-02 16:00,Ⅰ,13.4,7.60,9.61,410.3,1.7,0.57,0.078,0.012,3.64,*,*,正常
贵州省,长江流域,大关桥,04-02 20:00,Ⅰ,13.3,7.59,9.63,410.0,5.2,0.25,0.084,0.012,3.68,*,*,正常
贵州省,长江流域,大关桥,04-02 20:00,Ⅰ,13.3,7.59,9.63,410.0,5.2,0.25,0.084,0.012,3.68,*,*,正常
贵州省,长江流域,大关桥,04-03 04:00,Ⅰ,13.2,7.61,9.55,414.6,7.3,0.25,0.079,0.012,3.69,*,*,正常
