省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
贵州省,长江流域,大桥边,04-01 04:00,Ⅱ,18.7,7.81,7.01,381.5,22.0,0.78,0.025,0.058,2.95,*,*,正常
贵州省,长江流域,大桥边,04-01 12:00,Ⅱ,19.1,7.94,9.43,378.3,19.5,0.82,0.025,0.061,2.79,*,*,正常
贵州省,长江流域,大桥边,04-01 12:00,Ⅱ,19.1,7.94,9.43,378.3,19.5,0.82,0.025,0.061,2.79,*,*,正常
贵州省,长江流域,大桥边,04-01 16:00,Ⅱ,19.1,7.90,8.97,377.2,18.6,0.74,0.025,0.058,2.75,*,*,正常
贵州省,长江流域,大桥边,04-01 20:00,Ⅱ,18.6,7.82,7.22,378.8,16.1,0.77,0.025,0.059,2.72,*,*,正常
贵州省,长江流域,大桥边,04-02 00:00,Ⅱ,18.9,7.85,7.11,378.6,19.0,0.86,0.025,0.060,2.80,*,*,正常
贵州省,长江流域,大桥边,04-02 04:00,Ⅱ,19.0,7.83,6.90,376.4,20.4,1.02,0.025,0.060,2.72,*,*,正常
贵州省,长江流域,大桥边,04-02 08:00,Ⅱ,18.9,7.81,6.95,377.4,18.2,1.39,0.025,0.062,2.68,*,*,正常
贵州省,长江流域,大桥边,04-02 12:00,Ⅱ,19.3,7.95,9.13,375.7,17.7,1.28,0.025,0.063,2.78,*,*,正常
贵州省,长江流域,大桥边,04-02 16:00,Ⅱ,19.3,7.95,8.89,375.2,15.1,0.78,0.025,0.065,2.74,*,*,正常
贵州省,长江流域,大桥边,04-02 20:00,Ⅱ,18.8,7.82,6.92,378.1,16.5,0.83,0.025,0.062,2.74,*,*,正常
贵州省,长江流域,大桥边,04-03 00:00,Ⅱ,19.0,7.82,6.91,377.8,15.6,0.84,0.025,0.063,2.68,*,*,正常
贵州省,长江流域,大桥边,04-03 04:00,Ⅱ,19.2,7.84,6.86,377.0,13.5,0.75,0.025,0.062,2.66,*,*,正常
贵州省,长江流域,大桥边,04-03 08:00,Ⅱ,19.1,7.84,6.84,377.1,16.4,0.67,0.026,0.060,2.70,*,*,正常
贵州省,长江流域,大桥边,04-03 12:00,Ⅱ,19.2,7.88,8.11,377.0,15.7,1.24,0.025,0.053,2.64,*,*,正常
贵州省,长江流域,大桥边,04-03 16:00,Ⅱ,19.4,7.94,8.74,376.1,17.6,0.70,0.025,0.055,2.71,*,*,正常
贵州省,长江流域,大桥边,04-03 20:00,Ⅱ,19.0,7.82,6.76,378.5,13.0,0.75,0.025,0.061,2.70,*,*,正常
贵州省,长江流域,大桥边,04-04 00:00,Ⅱ,19.1,7.81,6.81,378.4,13.3,0.79,0.025,0.061,2.74,*,*,正常
贵州省,长江流域,大桥边,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
