省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
贵州省,长江流域,西岩寺,04-01 04:00,Ⅱ,19.6,7.51,6.43,283.3,17.4,1.31,0.070,0.053,1.30,*,*,正常
贵州省,长江流域,西岩寺,04-01 12:00,Ⅱ,19.5,7.75,8.90,286.8,16.5,1.39,0.051,0.049,1.27,*,*,正常
贵州省,长江流域,西岩寺,04-01 12:00,Ⅱ,19.5,7.75,8.90,286.8,16.5,1.39,0.051,0.049,1.27,*,*,正常
贵州省,长江流域,西岩寺,04-01 16:00,Ⅱ,20.0,8.08,11.17,280.6,16.7,1.67,0.042,0.052,1.18,*,*,正常
贵州省,长江流域,西岩寺,04-01 20:00,Ⅱ,19.6,7.77,7.55,283.7,17.6,1.28,0.053,0.053,1.28,*,*,正常
贵州省,长江流域,西岩寺,04-02 00:00,Ⅱ,19.1,7.54,6.69,286.7,17.5,1.28,0.053,0.053,1.28,*,*,正常
贵州省,长江流域,西岩寺,04-02 04:00,Ⅱ,18.8,7.52,6.80,283.1,20.9,1.46,0.082,0.058,1.34,*,*,正常
贵州省,长江流域,西岩寺,04-02 08:00,Ⅱ,18.5,7.41,6.37,292.2,24.4,1.96,0.300,0.082,2.08,*,*,正常
贵州省,长江流域,西岩寺,04-02 12:00,Ⅱ,18.2,7.60,8.36,292.6,19.4,1.49,0.104,0.061,1.39,*,*,正常
贵州省,长江流域,西岩寺,04-02 16:00,Ⅱ,18.1,7.70,8.77,291.6,19.9,1.47,0.133,0.060,1.82,*,*,正常
贵州省,长江流域,西岩寺,04-02 20:00,Ⅱ,17.9,7.53,7.03,289.4,20.6,1.47,0.170,0.067,1.87,*,*,正常
贵州省,长江流域,西岩寺,04-03 00:00,Ⅱ,17.6,7.41,6.81,295.0,19.6,1.47,0.170,0.067,1.87,*,*,正常
贵州省,长江流域,西岩寺,04-03 04:00,Ⅱ,17.3,7.36,6.79,303.5,22.4,2.18,0.320,0.085,2.22,*,*,正常
贵州省,长江流域,西岩寺,04-03 08:00,Ⅱ,16.9,7.38,7.44,299.6,23.2,2.38,0.377,0.087,2.21,*,*,正常
贵州省,长江流域,西岩寺,04-03 12:00,Ⅱ,17.0,7.62,9.20,285.4,17.9,1.46,0.152,0.062,1.39,*,*,正常
贵州省,长江流域,西岩寺,04-03 16:00,Ⅱ,17.5,7.84,10.00,280.6,18.8,1.36,0.091,0.057,1.29,*,*,正常
贵州省,长江流域,西岩寺,04-03 20:00,Ⅱ,17.0,7.64,8.46,281.4,18.9,1.16,0.057,0.042,1.19,*,*,正常
贵州省,长江流域,西岩寺,04-04 00:00,Ⅱ,16.8,7.67,8.22,282.6,18.0,1.16,0.057,0.042,1.19,*,*,正常
贵州省,长江流域,西岩寺,04-04 04:00,*,16.6,7.68,8.16,282.2,16.7,--,0.039,--,1.11,*,*,维护
贵州省,长江流域,西岩寺,04-04 08:00,*,16.5,7.82,8.32,282.3,19.2,--,0.039,0.041,1.11,*,*,维护
贵州省,长江流域,西岩寺,04-04 12:00,Ⅱ,16.4,7.89,9.33,283.6,17.8,1.20,0.045,0.038,1.17,*,*,正常
贵州省,长江流域,西岩寺,04-04 16:00,Ⅱ,16.1,7.85,9.70,286.7,17.7,1.20,0.049,0.042,1.20,*,*,正常
贵州省,长江流域,西岩寺,04-04 20:00,Ⅱ,15.5,7.61,8.67,290.4,17.6,1.19,0.066,0.034,1.23,*,*,正常
贵州省,长江流域,西岩寺,04-05 00:00,Ⅱ,15.2,7.64,8.73,287.9,17.2,1.19,0.066,0.034,1.23,*,*,正常
贵州省,长江流域,西岩寺,04-05 04:00,Ⅱ,15.0,7.63,8.84,283.5,18.0,1.08,0.043,0.036,1.29,*,*,正常
贵州省,长江流域,西岩寺,04-05 08:00,Ⅱ,14.7,7.68,8.88,278.0,18.3,1.32,0.057,0.037,1.28,*,*,正常
