省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
辽宁省,辽河流域,兴国桥,04-01 08:00,Ⅱ,7.8,8.48,12.54,527.0,11.0,2.95,0.055,0.020,1.65,*,*,正常
辽宁省,辽河流域,兴国桥,04-01 12:00,Ⅱ,9.6,8.55,12.88,527.5,4.4,2.99,0.045,0.021,1.56,*,*,正常
辽宁省,辽河流域,兴国桥,04-01 16:00,Ⅱ,9.4,8.54,12.49,520.9,4.3,2.99,0.045,0.021,1.56,*,*,正常
辽宁省,辽河流域,兴国桥,04-01 20:00,Ⅱ,8.0,8.43,11.91,520.2,5.2,3.01,0.044,0.020,1.58,*,*,正常
辽宁省,辽河流域,兴国桥,04-02 00:00,Ⅱ,7.7,8.41,11.93,521.7,6.3,2.72,0.048,0.019,1.56,*,*,正常
辽宁省,辽河流域,兴国桥,04-02 04:00,Ⅱ,7.7,8.40,11.93,522.2,6.2,2.72,0.048,0.019,1.56,*,*,正常
辽宁省,辽河流域,兴国桥,04-02 08:00,Ⅱ,8.0,8.46,12.36,522.6,4.1,2.88,0.052,0.019,1.56,*,*,正常
辽宁省,辽河流域,兴国桥,04-02 12:00,Ⅱ,8.8,8.56,12.28,522.5,19.8,2.80,0.055,0.019,1.60,*,*,正常
辽宁省,辽河流域,兴国桥,04-02 16:00,Ⅱ,8.2,8.48,12.22,518.5,8.8,3.41,0.042,0.031,1.62,*,*,正常
辽宁省,辽河流域,兴国桥,04-02 20:00,Ⅱ,7.7,8.43,12.15,519.7,7.9,3.01,0.058,0.023,1.61,*,*,正常
辽宁省,辽河流域,兴国桥,04-03 00:00,Ⅱ,7.8,8.43,12.14,520.2,7.7,3.12,0.057,0.021,1.63,*,*,正常
