省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
辽宁省,辽河流域,大清河口,04-01 04:00,Ⅱ,9.9,8.55,13.08,546.5,19.3,2.82,0.046,0.054,13.17,*,*,正常
辽宁省,辽河流域,大清河口,04-01 12:00,Ⅱ,12.0,8.73,15.53,528.9,15.4,2.85,0.036,0.056,13.19,*,*,正常
辽宁省,辽河流域,大清河口,04-01 12:00,Ⅱ,12.0,8.73,15.53,528.9,15.4,2.99,0.034,0.054,13.65,*,*,正常
辽宁省,辽河流域,大清河口,04-01 16:00,Ⅱ,11.6,8.75,15.11,522.9,16.8,2.64,0.044,0.052,13.01,*,*,正常
辽宁省,辽河流域,大清河口,04-01 20:00,Ⅱ,11.5,8.71,14.52,516.8,27.3,2.82,0.057,0.060,12.50,*,*,正常
辽宁省,辽河流域,大清河口,04-02 00:00,Ⅱ,11.2,8.64,13.46,525.6,16.6,2.82,0.057,0.060,12.50,*,*,正常
辽宁省,辽河流域,大清河口,04-02 04:00,Ⅱ,11.2,8.52,12.54,532.5,25.7,2.97,0.065,0.060,12.16,*,*,正常
辽宁省,辽河流域,大清河口,04-02 08:00,Ⅱ,11.9,8.70,14.06,515.3,17.4,2.71,0.044,0.056,12.68,*,*,正常
辽宁省,辽河流域,大清河口,04-02 12:00,Ⅱ,12.5,8.75,14.65,507.8,21.0,3.00,0.044,0.060,12.71,*,*,正常
辽宁省,辽河流域,大清河口,04-02 16:00,Ⅱ,12.2,8.76,14.59,515.1,18.1,2.88,0.054,0.053,12.29,*,*,正常
辽宁省,辽河流域,大清河口,04-02 20:00,Ⅱ,11.7,8.66,13.46,527.4,18.3,2.73,0.064,0.059,12.15,*,*,正常
辽宁省,辽河流域,大清河口,04-03 00:00,Ⅱ,11.2,8.55,12.27,521.0,15.7,2.73,0.064,0.059,12.15,*,*,正常
辽宁省,辽河流域,大清河口,04-03 04:00,Ⅱ,11.2,8.49,11.74,527.4,17.2,2.83,0.076,0.058,12.41,*,*,正常
辽宁省,辽河流域,大清河口,04-03 08:00,Ⅱ,11.2,8.45,11.97,535.0,18.8,2.77,0.071,0.060,12.77,*,*,正常
辽宁省,辽河流域,大清河口,04-03 12:00,Ⅱ,11.6,8.62,12.78,526.2,17.3,3.11,0.059,0.062,12.34,*,*,正常
辽宁省,辽河流域,大清河口,04-03 20:00,Ⅱ,11.4,8.64,13.02,516.7,15.2,3.11,0.059,0.062,12.34,*,*,正常
辽宁省,辽河流域,大清河口,04-03 20:00,Ⅱ,11.4,8.64,13.02,516.7,15.2,3.36,0.067,0.064,12.62,*,*,正常
辽宁省,辽河流域,大清河口,04-04 00:00,Ⅱ,10.7,8.38,11.55,545.9,18.1,3.36,0.067,0.064,12.62,*,*,正常
辽宁省,辽河流域,大清河口,04-04 04:00,*,10.3,8.38,11.20,542.3,21.1,--,--,--,--,*,*,维护
辽宁省,辽河流域,大清河口,04-04 08:00,*,9.8,8.52,11.91,535.1,17.8,--,--,--,--,*,*,维护
辽宁省,辽河流域,大清河口,04-04 12:00,Ⅱ,10.7,8.69,13.34,526.6,14.5,3.02,0.063,0.060,12.47,*,*,正常
