省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
辽宁省,辽河流域,张家堡,04-01 04:00,Ⅱ,10.7,7.96,10.36,1134.4,6.6,3.31,0.076,0.062,5.72,*,*,正常
辽宁省,辽河流域,张家堡,04-01 12:00,Ⅱ,11.5,8.06,13.06,1136.6,5.8,3.38,0.068,0.063,5.68,*,*,正常
辽宁省,辽河流域,张家堡,04-01 16:00,Ⅱ,11.8,8.05,12.86,1130.8,6.1,3.38,0.068,0.063,5.68,*,*,正常
辽宁省,辽河流域,张家堡,04-01 20:00,Ⅱ,11.5,7.98,11.30,1144.4,6.1,3.71,0.065,0.062,6.00,*,*,正常
辽宁省,辽河流域,张家堡,04-02 00:00,Ⅱ,11.6,7.94,10.62,1137.2,5.7,3.72,0.057,0.062,5.96,*,*,正常
辽宁省,辽河流域,张家堡,04-02 00:00,Ⅱ,11.6,7.94,10.62,1137.2,5.7,3.72,0.057,0.062,5.96,*,*,正常
辽宁省,辽河流域,张家堡,04-02 08:00,Ⅱ,11.5,7.92,10.47,1139.5,5.5,3.45,0.052,0.059,6.02,*,*,正常
辽宁省,辽河流域,张家堡,04-02 12:00,Ⅱ,11.6,8.00,11.97,1141.6,5.7,3.51,0.041,0.061,6.00,*,*,正常
辽宁省,辽河流域,张家堡,04-02 16:00,Ⅱ,11.8,8.01,12.23,1142.2,6.3,3.52,0.042,0.062,5.68,*,*,正常
辽宁省,辽河流域,张家堡,04-02 20:00,Ⅱ,11.6,7.92,10.36,1143.4,6.8,3.58,0.036,0.060,5.57,*,*,正常
辽宁省,辽河流域,张家堡,04-03 00:00,Ⅱ,11.7,7.92,10.33,1140.3,6.5,3.59,0.038,0.059,5.81,*,*,正常
辽宁省,辽河流域,张家堡,04-03 00:00,Ⅱ,11.7,7.92,10.33,1140.3,6.5,3.59,0.038,0.059,5.81,*,*,正常
辽宁省,辽河流域,张家堡,04-03 08:00,Ⅱ,10.9,7.98,10.82,1155.4,8.0,3.56,0.045,0.061,5.84,*,*,正常
辽宁省,辽河流域,张家堡,04-03 12:00,Ⅱ,11.2,8.10,12.20,1161.4,11.9,3.76,0.039,0.065,5.90,*,*,正常
辽宁省,辽河流域,张家堡,04-03 16:00,Ⅱ,11.5,8.12,12.00,1158.5,9.7,3.89,0.037,0.070,5.80,*,*,正常
辽宁省,辽河流域,张家堡,04-03 20:00,Ⅱ,11.0,8.00,9.98,1160.2,9.1,3.78,0.049,0.064,5.70,*,*,正常
辽宁省,辽河流域,张家堡,04-04 00:00,Ⅱ,10.8,7.99,9.79,1162.0,8.6,3.66,0.124,0.063,5.89,*,*,正常
辽宁省,辽河流域,张家堡,04-04 00:00,Ⅱ,10.8,7.99,9.79,1162.0,8.6,3.66,0.124,0.063,5.89,*,*,正常
辽宁省,辽河流域,张家堡,04-04 04:00,*,10.6,8.00,9.94,1165.5,9.2,--,0.182,0.065,5.90,*,*,维护
辽宁省,辽河流域,张家堡,04-04 08:00,*,10.6,8.02,10.66,1170.5,9.1,--,0.182,0.065,5.90,*,*,维护
辽宁省,辽河流域,张家堡,04-04 12:00,Ⅱ,11.2,8.06,11.72,1172.1,8.7,3.74,0.143,0.071,5.90,*,*,正常
辽宁省,辽河流域,张家堡,04-04 16:00,Ⅱ,11.8,8.11,12.66,1171.1,8.1,3.76,0.106,0.069,5.78,*,*,正常
辽宁省,辽河流域,张家堡,04-04 20:00,Ⅱ,11.1,8.03,10.84,1162.8,8.2,3.87,0.089,0.069,5.69,*,*,正常
