省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
辽宁省,辽河流域,戈布桥,04-01 04:00,Ⅲ,8.4,8.68,13.63,655.6,7.5,4.29,0.025,0.040,3.50,*,*,正常
辽宁省,辽河流域,戈布桥,04-01 12:00,Ⅲ,9.0,8.79,14.38,657.3,7.6,4.52,0.025,0.043,3.53,*,*,正常
辽宁省,辽河流域,戈布桥,04-01 12:00,Ⅲ,9.0,8.79,14.38,657.3,7.6,4.52,0.025,0.043,3.53,*,*,正常
辽宁省,辽河流域,戈布桥,04-01 16:00,Ⅲ,10.2,8.89,15.10,648.5,7.7,4.69,0.025,0.041,3.48,*,*,正常
辽宁省,辽河流域,戈布桥,04-01 20:00,Ⅲ,9.4,8.84,15.13,652.1,8.3,4.69,0.025,0.042,3.35,*,*,正常
辽宁省,辽河流域,戈布桥,04-02 00:00,Ⅲ,9.2,8.81,14.77,655.0,8.1,4.69,0.025,0.040,3.40,*,*,正常
辽宁省,辽河流域,戈布桥,04-02 04:00,Ⅲ,9.5,8.85,15.13,656.1,7.6,4.69,0.025,0.044,3.47,*,*,正常
辽宁省,辽河流域,戈布桥,04-02 08:00,Ⅲ,9.5,8.88,15.14,656.8,7.4,4.69,0.025,0.039,3.42,*,*,正常
辽宁省,辽河流域,戈布桥,04-02 12:00,Ⅲ,9.7,8.89,14.83,654.3,7.7,4.69,0.025,0.039,3.51,*,*,正常
辽宁省,辽河流域,戈布桥,04-02 16:00,Ⅲ,9.7,8.90,14.59,654.2,8.1,4.75,0.025,0.039,3.38,*,*,正常
辽宁省,辽河流域,戈布桥,04-02 20:00,Ⅲ,9.7,8.88,14.86,655.1,8.1,4.61,0.025,0.039,3.40,*,*,正常
辽宁省,辽河流域,戈布桥,04-03 00:00,Ⅲ,9.7,8.83,14.61,657.5,7.9,4.44,0.025,0.038,3.41,*,*,正常
辽宁省,辽河流域,戈布桥,04-03 04:00,Ⅲ,9.7,8.83,14.66,656.4,7.9,4.64,0.025,0.038,3.24,*,*,正常
辽宁省,辽河流域,戈布桥,04-03 08:00,Ⅲ,9.7,8.81,14.17,653.2,8.5,4.56,0.025,0.043,3.41,*,*,正常
辽宁省,辽河流域,戈布桥,04-03 12:00,Ⅲ,9.9,8.86,14.38,652.1,8.8,4.66,0.025,0.040,3.46,*,*,正常
辽宁省,辽河流域,戈布桥,04-03 16:00,Ⅲ,10.3,8.91,14.74,653.5,8.8,4.83,0.025,0.041,3.28,*,*,正常
辽宁省,辽河流域,戈布桥,04-03 20:00,Ⅲ,10.0,8.89,14.47,654.7,8.5,4.74,0.025,0.040,3.33,*,*,正常
辽宁省,辽河流域,戈布桥,04-04 00:00,Ⅲ,10.0,8.87,14.53,660.5,8.6,4.71,0.025,0.041,3.26,*,*,正常
辽宁省,辽河流域,戈布桥,04-04 00:00,Ⅲ,10.0,8.87,14.53,660.5,8.6,4.71,0.025,0.041,3.26,*,*,正常
辽宁省,辽河流域,戈布桥,04-04 04:00,Ⅲ,9.9,8.84,13.96,660.5,8.5,4.61,0.025,0.036,3.35,*,*,正常
