省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
辽宁省,辽河流域,松树水文站,04-01 04:00,Ⅱ,8.2,7.61,10.02,400.8,6.9,3.97,0.327,0.093,5.94,*,*,正常
辽宁省,辽河流域,松树水文站,04-01 12:00,Ⅲ,8.8,7.80,13.03,360.3,12.5,4.11,0.284,0.109,6.04,*,*,正常
辽宁省,辽河流域,松树水文站,04-01 16:00,Ⅲ,11.0,8.04,14.04,354.5,9.2,4.11,0.284,0.109,6.04,*,*,正常
辽宁省,辽河流域,松树水文站,04-01 20:00,Ⅲ,10.8,7.83,10.48,358.2,8.4,4.02,0.281,0.095,5.71,*,*,正常
辽宁省,辽河流域,松树水文站,04-02 00:00,Ⅲ,10.4,7.64,9.17,359.2,5.4,4.12,0.252,0.081,5.89,*,*,正常
辽宁省,辽河流域,松树水文站,04-02 00:00,Ⅲ,10.4,7.64,9.17,359.2,5.4,4.12,0.252,0.081,5.89,*,*,正常
辽宁省,辽河流域,松树水文站,04-02 08:00,Ⅱ,9.1,7.60,9.85,363.4,3.6,3.60,0.308,0.074,5.98,*,*,正常
辽宁省,辽河流域,松树水文站,04-02 12:00,Ⅱ,10.0,7.83,11.63,359.0,3.6,3.84,0.351,0.074,6.33,*,*,正常
辽宁省,辽河流域,松树水文站,04-02 16:00,Ⅱ,10.6,8.08,12.31,356.0,4.1,3.70,0.281,0.070,6.06,*,*,正常
辽宁省,辽河流域,松树水文站,04-02 20:00,Ⅱ,10.3,7.88,10.53,357.6,4.5,3.41,0.168,0.068,5.87,*,*,正常
辽宁省,辽河流域,松树水文站,04-03 00:00,Ⅱ,9.8,7.70,9.46,360.2,4.0,3.29,0.107,0.066,5.66,*,*,正常
辽宁省,辽河流域,松树水文站,04-03 00:00,Ⅱ,9.8,7.70,9.46,360.2,4.0,3.29,0.107,0.066,5.66,*,*,正常
辽宁省,辽河流域,松树水文站,04-03 08:00,Ⅱ,8.6,7.68,10.28,372.8,3.4,3.30,0.072,0.058,5.41,*,*,正常
辽宁省,辽河流域,松树水文站,04-03 12:00,Ⅱ,10.0,7.96,12.67,373.6,3.2,3.26,0.062,0.057,5.50,*,*,正常
辽宁省,辽河流域,松树水文站,04-03 16:00,Ⅱ,11.0,8.29,13.65,370.4,3.5,3.35,0.058,0.058,5.48,*,*,正常
辽宁省,辽河流域,松树水文站,04-03 20:00,Ⅱ,9.6,8.06,11.23,370.3,4.7,3.38,0.056,0.059,5.58,*,*,正常
辽宁省,辽河流域,松树水文站,04-04 00:00,Ⅱ,8.3,7.90,10.24,375.5,3.6,3.22,0.051,0.062,5.37,*,*,正常
辽宁省,辽河流域,松树水文站,04-04 00:00,Ⅱ,8.3,7.90,10.24,375.5,3.6,3.22,0.051,0.062,5.37,*,*,正常
辽宁省,辽河流域,松树水文站,04-04 04:00,*,6.5,7.74,9.94,380.2,3.0,--,0.026,0.055,5.27,*,*,维护
辽宁省,辽河流域,松树水文站,04-04 08:00,Ⅱ,5.6,7.80,11.39,383.5,2.8,3.06,0.026,0.055,5.27,*,*,正常
辽宁省,辽河流域,松树水文站,04-04 12:00,Ⅱ,8.7,7.90,12.59,376.3,2.6,3.14,0.031,0.054,5.37,*,*,正常
辽宁省,辽河流域,松树水文站,04-04 16:00,Ⅱ,11.7,8.22,13.97,372.9,3.2,3.20,0.025,0.055,5.46,*,*,正常
辽宁省,辽河流域,松树水文站,04-04 20:00,Ⅱ,11.2,8.10,11.58,374.7,4.4,3.37,0.025,0.058,5.36,*,*,正常
辽宁省,辽河流域,松树水文站,04-05 00:00,Ⅱ,9.6,7.90,9.97,376.9,4.0,3.37,0.025,0.058,5.36,*,*,正常
辽宁省,辽河流域,松树水文站,04-05 04:00,Ⅱ,7.6,7.74,9.55,380.3,3.0,3.15,0.025,0.053,5.17,*,*,正常
辽宁省,辽河流域,松树水文站,04-05 08:00,Ⅱ,6.8,7.79,11.17,383.3,3.2,3.06,0.025,0.048,5.35,*,*,正常
