省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
辽宁省,辽河流域,王家窝棚,04-01 04:00,Ⅱ,10.9,8.08,9.86,695.4,3.7,3.50,0.060,0.026,5.34,*,*,正常
辽宁省,辽河流域,王家窝棚,04-01 12:00,Ⅱ,13.8,8.36,12.28,694.5,8.6,3.79,0.050,0.036,4.70,*,*,正常
辽宁省,辽河流域,王家窝棚,04-01 12:00,Ⅱ,13.8,8.36,12.28,694.5,8.6,3.79,0.050,0.036,4.70,*,*,正常
辽宁省,辽河流域,王家窝棚,04-01 16:00,Ⅱ,14.7,8.37,12.01,690.7,4.8,2.62,0.050,0.028,4.63,*,*,正常
辽宁省,辽河流域,王家窝棚,04-01 20:00,Ⅱ,13.0,8.14,10.43,695.0,4.1,3.15,0.050,0.026,4.60,*,*,正常
辽宁省,辽河流域,王家窝棚,04-01 20:00,Ⅱ,13.0,8.14,10.43,695.0,4.1,3.15,0.050,0.026,4.60,*,*,正常
辽宁省,辽河流域,王家窝棚,04-02 04:00,Ⅱ,11.6,8.09,9.65,692.0,4.0,2.80,0.060,0.026,4.88,*,*,正常
辽宁省,辽河流域,王家窝棚,04-02 08:00,Ⅱ,11.2,8.13,10.07,694.0,3.8,2.74,0.048,0.028,4.93,*,*,正常
辽宁省,辽河流域,王家窝棚,04-02 12:00,Ⅱ,11.3,8.26,11.29,698.7,3.9,2.85,0.044,0.037,4.78,*,*,正常
辽宁省,辽河流域,王家窝棚,04-02 16:00,Ⅱ,11.6,8.28,11.68,695.6,6.5,3.09,0.060,0.033,4.57,*,*,正常
辽宁省,辽河流域,王家窝棚,04-02 20:00,Ⅱ,11.0,8.12,10.63,699.3,3.9,2.80,0.050,0.028,4.71,*,*,正常
辽宁省,辽河流域,王家窝棚,04-02 20:00,Ⅱ,11.0,8.12,10.63,699.3,3.9,2.80,0.050,0.028,4.71,*,*,正常
辽宁省,辽河流域,王家窝棚,04-03 04:00,Ⅱ,9.8,8.09,10.25,702.0,3.9,2.56,0.060,0.024,5.00,*,*,正常
辽宁省,辽河流域,王家窝棚,04-03 08:00,Ⅱ,9.1,8.16,10.84,701.0,4.3,2.50,0.040,0.026,5.07,*,*,正常
辽宁省,辽河流域,王家窝棚,04-03 12:00,Ⅱ,12.2,8.38,12.72,698.4,4.8,2.62,0.040,0.026,4.91,*,*,正常
辽宁省,辽河流域,王家窝棚,04-03 16:00,Ⅱ,13.4,8.41,12.49,691.0,7.0,2.80,0.040,0.030,4.82,*,*,正常
辽宁省,辽河流域,王家窝棚,04-03 20:00,Ⅱ,11.3,8.19,10.87,693.9,5.1,2.50,0.040,0.025,4.98,*,*,正常
辽宁省,辽河流域,王家窝棚,04-03 20:00,Ⅱ,11.3,8.19,10.87,693.9,5.1,2.50,0.040,0.025,4.98,*,*,正常
辽宁省,辽河流域,王家窝棚,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
辽宁省,辽河流域,王家窝棚,04-04 04:00,Ⅱ,8.3,8.18,10.72,690.2,4.2,2.74,0.060,0.024,5.06,*,*,正常
辽宁省,辽河流域,王家窝棚,04-04 12:00,Ⅱ,11.9,8.36,12.86,694.5,8.3,2.62,0.050,0.033,5.13,*,*,正常
辽宁省,辽河流域,王家窝棚,04-04 16:00,Ⅱ,13.4,8.38,12.49,688.6,8.6,2.91,0.050,0.033,5.37,*,*,正常
辽宁省,辽河流域,王家窝棚,04-04 20:00,Ⅱ,11.6,8.18,10.91,688.9,6.3,2.62,0.040,0.025,5.17,*,*,正常
辽宁省,辽河流域,王家窝棚,04-04 20:00,Ⅱ,11.6,8.18,10.91,688.9,6.3,2.62,0.040,0.025,5.17,*,*,正常
辽宁省,辽河流域,王家窝棚,04-05 04:00,Ⅱ,8.7,8.16,10.58,684.5,5.0,2.33,0.060,0.022,5.66,*,*,正常
辽宁省,辽河流域,王家窝棚,04-05 08:00,Ⅱ,8.5,8.26,11.43,687.9,4.7,2.10,0.044,0.026,5.66,*,*,正常
辽宁省,辽河流域,王家窝棚,04-05 12:00,Ⅱ,12.6,8.40,12.91,688.9,6.2,2.56,0.040,0.026,5.51,*,*,正常
辽宁省,辽河流域,王家窝棚,04-05 16:00,Ⅲ,13.2,8.44,12.73,685.8,5.9,2.50,0.774,0.025,5.64,*,*,正常
