省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
辽宁省,辽河流域,西树林,04-01 04:00,Ⅲ,10.6,8.22,9.61,1623.9,9.8,5.56,0.362,0.061,8.13,*,*,正常
辽宁省,辽河流域,西树林,04-01 12:00,Ⅲ,12.4,8.41,10.87,1620.8,8.3,5.83,0.276,0.059,8.22,*,*,正常
辽宁省,辽河流域,西树林,04-01 12:00,Ⅲ,12.4,8.41,10.87,1620.8,8.3,5.83,0.276,0.059,8.22,*,*,正常
辽宁省,辽河流域,西树林,04-01 16:00,Ⅲ,12.0,8.42,11.19,1616.7,9.1,5.48,0.241,0.063,8.10,*,*,正常
辽宁省,辽河流域,西树林,04-01 20:00,Ⅲ,12.6,8.49,12.27,1617.0,11.3,5.67,0.234,0.062,8.04,*,*,正常
辽宁省,辽河流域,西树林,04-01 20:00,Ⅲ,12.6,8.49,12.27,1617.0,11.3,5.67,0.234,0.062,8.04,*,*,正常
辽宁省,辽河流域,西树林,04-02 04:00,Ⅲ,11.9,8.39,11.80,1625.7,11.0,5.56,0.242,0.061,8.01,*,*,正常
辽宁省,辽河流域,西树林,04-02 08:00,Ⅲ,11.2,8.28,11.06,1629.9,11.0,5.48,0.269,0.059,8.03,*,*,正常
辽宁省,辽河流域,西树林,04-02 12:00,Ⅲ,10.7,8.15,10.41,1635.5,11.2,5.47,0.326,0.061,8.05,*,*,正常
辽宁省,辽河流域,西树林,04-02 16:00,Ⅲ,10.5,8.04,10.18,1636.4,13.2,5.61,0.323,0.063,8.11,*,*,正常
辽宁省,辽河流域,西树林,04-02 20:00,Ⅲ,10.7,8.07,10.25,1632.2,11.6,5.62,0.330,0.063,8.02,*,*,正常
辽宁省,辽河流域,西树林,04-02 20:00,Ⅲ,10.7,8.07,10.25,1632.2,11.6,5.62,0.330,0.063,8.02,*,*,正常
辽宁省,辽河流域,西树林,04-03 04:00,Ⅲ,10.6,8.06,10.22,1639.1,11.5,5.39,0.316,0.064,8.11,*,*,正常
辽宁省,辽河流域,西树林,04-03 08:00,Ⅲ,10.2,8.00,9.65,1630.3,14.8,5.46,0.352,0.065,8.13,*,*,正常
辽宁省,辽河流域,西树林,04-03 12:00,Ⅲ,10.7,8.15,10.02,1651.0,18.6,5.55,0.320,0.068,8.05,*,*,正常
