省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
重庆市,长江流域,光辉,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
重庆市,长江流域,光辉,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
重庆市,长江流域,光辉,*,*,--,--,--,--,--,--,--,--,--,*,*,不具备运行条件
重庆市,长江流域,光辉,*,*,--,--,--,--,--,--,--,--,--,*,*,不具备运行条件
重庆市,长江流域,光辉,04-02 00:00,Ⅲ,19.9,8.64,24.99,384.0,11.1,5.88,0.050,0.041,0.40,*,*,正常
重庆市,长江流域,光辉,04-02 00:00,Ⅲ,19.9,8.64,24.99,384.0,11.1,5.88,0.050,0.041,0.40,*,*,正常
重庆市,长江流域,光辉,04-02 08:00,Ⅲ,19.4,8.39,17.24,396.1,12.9,4.60,0.025,0.041,0.36,*,*,正常
重庆市,长江流域,光辉,04-02 12:00,Ⅲ,19.7,8.56,20.35,393.8,12.4,5.18,0.025,0.051,0.46,*,*,正常
重庆市,长江流域,光辉,04-02 16:00,Ⅲ,19.5,8.55,17.46,399.1,13.1,4.95,0.025,0.042,0.35,*,*,正常
重庆市,长江流域,光辉,04-02 20:00,Ⅲ,19.4,8.62,18.19,398.7,11.4,4.94,0.025,0.052,0.36,*,*,正常
重庆市,长江流域,光辉,04-03 00:00,Ⅲ,19.2,8.50,14.86,402.6,11.9,5.04,0.025,0.045,0.32,*,*,正常
重庆市,长江流域,光辉,04-03 00:00,Ⅲ,19.2,8.50,14.86,402.6,11.9,5.04,0.025,0.045,0.32,*,*,正常
重庆市,长江流域,光辉,04-03 08:00,Ⅲ,18.8,8.36,12.51,409.1,12.4,4.80,0.025,0.049,0.33,*,*,正常
重庆市,长江流域,光辉,04-03 12:00,Ⅲ,19.2,8.47,13.99,408.0,11.4,4.80,0.025,0.049,0.39,*,*,正常
重庆市,长江流域,光辉,04-03 16:00,Ⅲ,19.6,8.59,10.07,404.0,83.6,4.62,0.025,0.045,0.31,*,*,正常
重庆市,长江流域,光辉,04-03 20:00,Ⅲ,19.2,8.53,14.14,409.7,10.2,5.11,0.025,0.049,0.40,*,*,正常
重庆市,长江流域,光辉,04-04 00:00,Ⅲ,18.7,8.29,10.52,415.3,10.5,4.80,0.025,0.049,0.36,*,*,正常
重庆市,长江流域,光辉,04-04 00:00,Ⅲ,18.7,8.29,10.52,415.3,10.5,4.80,0.025,0.049,0.36,*,*,正常
重庆市,长江流域,光辉,04-04 04:00,*,18.6,8.29,10.04,417.1,11.4,--,0.025,0.054,0.33,*,*,维护
重庆市,长江流域,光辉,04-04 08:00,Ⅲ,18.6,8.35,10.53,416.3,11.0,4.63,0.025,0.051,0.37,*,*,正常
重庆市,长江流域,光辉,04-04 12:00,Ⅲ,19.2,8.55,13.52,414.0,11.8,5.21,0.025,0.051,0.40,*,*,正常
重庆市,长江流域,光辉,04-04 16:00,Ⅲ,20.0,8.62,14.82,411.8,10.2,4.82,0.025,0.056,0.39,*,*,正常
重庆市,长江流域,光辉,04-04 20:00,Ⅲ,19.2,8.42,11.05,416.7,10.2,4.59,0.025,0.055,0.35,*,*,正常
重庆市,长江流域,光辉,04-05 00:00,Ⅲ,18.9,8.24,8.92,419.7,10.2,4.59,0.025,0.055,0.35,*,*,正常
