省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
重庆市,长江流域,卫星桥,04-01 04:00,Ⅲ,16.7,8.41,9.19,333.2,47.4,5.68,0.070,0.065,2.18,*,*,正常
重庆市,长江流域,卫星桥,04-01 12:00,Ⅳ,16.7,8.41,9.30,325.5,43.4,6.08,0.096,0.073,2.36,*,*,正常
重庆市,长江流域,卫星桥,04-01 12:00,Ⅳ,16.7,8.41,9.30,325.5,43.4,6.08,0.096,0.073,2.36,*,*,正常
重庆市,长江流域,卫星桥,04-01 16:00,Ⅲ,16.8,8.42,9.26,324.3,43.1,5.99,0.102,0.072,2.41,*,*,正常
重庆市,长江流域,卫星桥,04-01 20:00,Ⅳ,16.7,8.39,9.26,322.3,40.5,6.16,0.118,0.075,2.54,*,*,正常
重庆市,长江流域,卫星桥,04-02 00:00,Ⅳ,16.6,8.38,9.29,320.4,39.4,6.16,0.118,0.075,2.54,*,*,正常
重庆市,长江流域,卫星桥,04-02 04:00,Ⅳ,16.5,8.37,9.34,325.6,48.6,6.20,0.125,0.089,3.12,*,*,正常
重庆市,长江流域,卫星桥,04-02 12:00,Ⅲ,16.0,8.42,9.72,351.8,46.9,6.00,0.115,0.087,3.22,*,*,正常
重庆市,长江流域,卫星桥,04-02 12:00,Ⅲ,16.0,8.42,9.72,351.8,46.9,5.77,0.160,0.077,3.15,*,*,正常
重庆市,长江流域,卫星桥,04-02 16:00,Ⅲ,16.0,8.48,9.72,361.9,43.1,5.18,0.111,0.071,2.87,*,*,正常
重庆市,长江流域,卫星桥,04-02 20:00,Ⅲ,15.8,8.50,9.70,368.7,46.4,4.95,0.075,0.070,2.72,*,*,正常
重庆市,长江流域,卫星桥,04-03 00:00,Ⅲ,15.6,8.51,9.78,375.8,40.2,4.95,0.075,0.070,2.72,*,*,正常
重庆市,长江流域,卫星桥,04-03 04:00,Ⅲ,15.5,8.51,9.83,376.8,34.4,4.62,0.063,0.065,2.20,*,*,正常
重庆市,长江流域,卫星桥,04-03 08:00,Ⅲ,15.4,8.52,9.92,376.2,40.9,4.78,0.053,0.069,2.20,*,*,正常
