省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
重庆市,长江流域,清溪场,04-01 04:00,Ⅱ,16.8,7.86,9.06,417.3,9.0,1.38,0.072,0.058,1.85,*,*,正常
重庆市,长江流域,清溪场,04-01 12:00,Ⅱ,16.8,7.85,9.04,417.8,8.0,1.45,0.069,0.058,1.80,*,*,正常
重庆市,长江流域,清溪场,04-01 16:00,Ⅱ,16.9,7.85,9.10,417.8,7.3,1.45,0.069,0.058,1.80,*,*,正常
重庆市,长江流域,清溪场,04-01 20:00,Ⅱ,16.7,7.85,9.18,416.1,7.7,1.38,0.070,0.062,1.93,*,*,正常
重庆市,长江流域,清溪场,04-02 00:00,Ⅱ,16.6,7.84,9.12,412.6,9.3,1.37,0.078,0.064,1.93,*,*,正常
重庆市,长江流域,清溪场,04-02 00:00,Ⅱ,16.6,7.84,9.12,412.6,9.3,1.37,0.078,0.064,1.93,*,*,正常
重庆市,长江流域,清溪场,04-02 08:00,Ⅱ,16.6,7.84,9.09,413.0,9.4,1.34,0.088,0.069,2.00,*,*,正常
重庆市,长江流域,清溪场,04-02 12:00,Ⅱ,16.8,7.85,9.11,413.4,9.8,1.44,0.086,0.068,1.89,*,*,正常
重庆市,长江流域,清溪场,04-02 16:00,Ⅱ,16.8,7.84,9.12,415.2,8.8,1.46,0.083,0.068,1.82,*,*,正常
重庆市,长江流域,清溪场,04-02 20:00,Ⅱ,16.8,7.85,9.08,415.0,11.8,1.39,0.082,0.067,1.79,*,*,正常
重庆市,长江流域,清溪场,04-03 00:00,Ⅱ,16.6,7.85,9.17,414.7,10.0,1.40,0.082,0.068,1.79,*,*,正常
重庆市,长江流域,清溪场,04-03 00:00,Ⅱ,16.6,7.85,9.17,414.7,10.0,1.40,0.082,0.068,1.79,*,*,正常
重庆市,长江流域,清溪场,04-03 08:00,Ⅱ,16.6,7.85,9.14,415.9,11.8,1.39,0.072,0.062,1.90,*,*,正常
重庆市,长江流域,清溪场,04-03 12:00,Ⅱ,16.8,7.86,9.18,416.9,9.4,1.40,0.075,0.063,1.80,*,*,正常
重庆市,长江流域,清溪场,04-03 16:00,Ⅱ,17.0,7.89,9.29,418.1,9.2,1.35,0.073,0.061,1.80,*,*,正常
