省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
重庆市,长江流域,玉溪,04-01 08:00,Ⅱ,18.0,7.71,7.28,479.4,13.2,1.04,0.128,0.016,1.46,*,*,正常
重庆市,长江流域,玉溪,04-01 12:00,Ⅱ,18.1,7.72,7.35,480.8,9.5,1.25,0.092,0.014,1.44,*,*,正常
重庆市,长江流域,玉溪,04-01 12:00,Ⅱ,18.1,7.72,7.35,480.8,9.5,1.25,0.092,0.014,1.44,*,*,正常
重庆市,长江流域,玉溪,04-01 16:00,Ⅰ,18.3,7.76,7.63,480.6,12.5,1.99,0.115,0.015,1.45,*,*,正常
重庆市,长江流域,玉溪,04-01 20:00,Ⅱ,18.1,7.75,7.44,481.5,25.6,2.47,0.189,0.016,1.46,*,*,正常
重庆市,长江流域,玉溪,04-02 00:00,Ⅱ,18.0,7.70,7.04,482.5,29.9,2.47,0.189,0.016,1.46,*,*,正常
重庆市,长江流域,玉溪,04-02 04:00,Ⅱ,17.9,7.70,7.03,482.7,25.9,1.47,0.189,0.015,1.47,*,*,正常
重庆市,长江流域,玉溪,04-02 08:00,Ⅱ,17.8,7.71,7.07,483.4,16.9,0.73,0.149,0.016,1.46,*,*,正常
重庆市,长江流域,玉溪,04-02 12:00,Ⅱ,18.0,7.73,7.28,484.1,31.8,1.50,0.234,0.017,1.46,*,*,正常
重庆市,长江流域,玉溪,04-02 16:00,Ⅱ,18.2,7.59,8.10,483.5,31.7,1.72,0.242,0.020,1.48,*,*,正常
重庆市,长江流域,玉溪,04-02 20:00,Ⅱ,17.8,7.74,7.75,484.0,35.3,1.69,0.298,0.018,1.46,*,*,正常
重庆市,长江流域,玉溪,04-03 00:00,Ⅱ,17.5,7.68,7.21,484.9,43.1,1.69,0.298,0.018,1.46,*,*,正常
重庆市,长江流域,玉溪,04-03 04:00,Ⅱ,17.5,7.69,7.24,485.1,33.4,1.71,0.253,0.018,1.51,*,*,正常
重庆市,长江流域,玉溪,04-03 08:00,Ⅱ,17.4,7.70,7.31,485.4,23.3,1.46,0.189,0.017,1.47,*,*,正常
重庆市,长江流域,玉溪,04-03 12:00,Ⅱ,17.8,7.71,7.31,484.8,39.1,1.72,0.270,0.019,1.48,*,*,正常
重庆市,长江流域,玉溪,04-03 16:00,Ⅱ,18.0,7.71,7.22,484.7,50.9,1.72,0.275,0.019,1.48,*,*,正常
重庆市,长江流域,玉溪,04-03 20:00,Ⅱ,17.7,7.70,7.13,484.5,22.8,1.47,0.175,0.017,1.46,*,*,正常
重庆市,长江流域,玉溪,04-04 00:00,Ⅱ,17.5,7.68,6.92,485.4,16.3,1.47,0.175,0.017,1.46,*,*,正常
重庆市,长江流域,玉溪,04-04 04:00,Ⅱ,17.4,7.67,6.87,485.4,10.0,1.46,0.107,0.015,1.47,*,*,正常
重庆市,长江流域,玉溪,04-04 08:00,Ⅱ,17.3,7.67,6.84,485.7,6.7,1.46,0.107,0.015,1.47,*,*,正常
