省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
重庆市,长江流域,石门坎,04-01 04:00,Ⅱ,21.5,8.14,7.27,294.0,20.9,0.79,0.025,0.015,1.09,*,*,正常
重庆市,长江流域,石门坎,04-01 12:00,Ⅰ,21.5,8.20,7.99,295.6,22.9,0.71,0.025,0.017,1.09,*,*,正常
重庆市,长江流域,石门坎,04-01 16:00,Ⅰ,21.4,8.28,8.44,296.4,22.1,0.71,0.025,0.017,1.09,*,*,正常
重庆市,长江流域,石门坎,04-01 20:00,Ⅰ,20.6,8.19,7.76,302.2,30.0,1.14,0.025,0.018,1.13,*,*,正常
重庆市,长江流域,石门坎,04-02 00:00,Ⅰ,20.0,8.12,7.57,304.7,89.2,0.98,0.025,0.018,1.16,*,*,正常
重庆市,长江流域,石门坎,04-02 00:00,Ⅰ,20.0,8.12,7.57,304.7,89.2,0.98,0.025,0.018,1.16,*,*,正常
重庆市,长江流域,石门坎,04-02 08:00,Ⅰ,19.4,8.11,7.62,306.6,28.7,1.06,0.025,0.020,1.14,*,*,正常
重庆市,长江流域,石门坎,04-02 12:00,Ⅰ,19.3,8.18,8.22,306.3,30.5,1.14,0.025,0.018,1.21,*,*,正常
重庆市,长江流域,石门坎,04-02 16:00,Ⅰ,19.3,8.29,8.69,304.7,27.6,0.97,0.025,0.020,1.20,*,*,正常
重庆市,长江流域,石门坎,04-02 20:00,Ⅰ,18.8,8.24,8.23,305.8,23.3,1.01,0.025,0.018,1.20,*,*,正常
重庆市,长江流域,石门坎,04-03 00:00,Ⅰ,18.4,8.19,7.91,305.8,22.1,1.00,0.025,0.020,1.20,*,*,正常
重庆市,长江流域,石门坎,04-03 00:00,Ⅰ,18.4,8.19,7.91,305.8,22.1,1.00,0.025,0.020,1.20,*,*,正常
重庆市,长江流域,石门坎,04-03 08:00,Ⅰ,18.0,8.13,7.95,307.2,30.5,0.93,0.025,0.016,1.23,*,*,正常
重庆市,长江流域,石门坎,04-03 12:00,Ⅰ,18.6,8.22,8.73,305.4,37.2,1.12,0.025,0.017,1.16,*,*,正常
重庆市,长江流域,石门坎,04-03 16:00,Ⅰ,19.4,8.35,9.20,301.6,31.3,1.04,0.025,0.019,1.14,*,*,正常
重庆市,长江流域,石门坎,04-03 20:00,Ⅱ,18.5,8.08,8.42,368.1,30.0,1.00,0.025,0.021,1.19,*,*,正常
重庆市,长江流域,石门坎,04-04 00:00,Ⅱ,18.3,8.02,8.03,366.1,43.4,0.88,0.025,0.020,1.17,*,*,正常
重庆市,长江流域,石门坎,04-04 00:00,Ⅱ,18.3,8.02,8.03,366.1,43.4,0.88,0.025,0.020,1.17,*,*,正常
重庆市,长江流域,石门坎,04-04 04:00,*,18.2,8.01,7.98,363.6,33.8,--,0.025,0.022,1.15,*,*,维护
重庆市,长江流域,石门坎,04-04 08:00,*,17.8,7.97,8.07,364.2,48.6,--,0.025,0.022,1.15,*,*,维护
重庆市,长江流域,石门坎,04-04 12:00,Ⅱ,18.0,8.02,8.46,362.8,39.9,1.20,0.025,0.024,1.07,*,*,正常
重庆市,长江流域,石门坎,04-04 16:00,Ⅱ,18.0,8.08,8.72,364.0,37.9,0.66,0.025,0.024,1.16,*,*,正常
重庆市,长江流域,石门坎,04-04 20:00,Ⅰ,17.5,8.05,8.42,367.2,28.3,0.97,0.025,0.020,1.20,*,*,正常
重庆市,长江流域,石门坎,04-05 00:00,Ⅰ,17.1,8.03,8.32,369.5,22.0,0.97,0.025,0.020,1.20,*,*,正常
重庆市,长江流域,石门坎,04-05 04:00,Ⅱ,16.8,8.00,8.31,371.6,46.8,0.94,0.025,0.022,1.16,*,*,正常
重庆市,长江流域,石门坎,04-05 08:00,Ⅱ,16.5,7.98,8.43,372.7,53.6,1.35,0.025,0.025,1.20,*,*,正常
重庆市,长江流域,石门坎,04-05 12:00,Ⅱ,16.7,8.04,8.92,370.9,34.1,0.60,0.025,0.026,1.19,*,*,正常
重庆市,长江流域,石门坎,04-05 16:00,Ⅱ,17.0,8.15,9.41,368.0,32.8,0.89,0.025,0.023,1.22,*,*,正常
