省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
重庆市,长江流域,鸭江镇,04-01 04:00,Ⅱ,16.6,7.88,9.42,522.9,9.2,2.63,0.176,0.058,3.68,*,*,正常
重庆市,长江流域,鸭江镇,04-01 12:00,Ⅱ,16.6,7.91,9.63,511.7,8.4,2.77,0.186,0.058,3.68,*,*,正常
重庆市,长江流域,鸭江镇,04-01 16:00,Ⅱ,16.8,7.92,9.65,519.3,8.3,2.77,0.186,0.058,3.68,*,*,正常
重庆市,长江流域,鸭江镇,04-01 20:00,Ⅱ,16.6,7.90,9.47,509.3,7.8,2.49,0.173,0.057,3.68,*,*,正常
重庆市,长江流域,鸭江镇,04-02 00:00,Ⅱ,16.4,7.89,9.49,518.1,8.1,2.44,0.169,0.058,3.66,*,*,正常
重庆市,长江流域,鸭江镇,04-02 00:00,Ⅱ,16.4,7.89,9.49,518.1,8.1,2.44,0.169,0.058,3.66,*,*,正常
重庆市,长江流域,鸭江镇,04-02 08:00,Ⅱ,16.3,7.89,9.50,518.7,8.6,2.46,0.169,0.055,3.69,*,*,正常
重庆市,长江流域,鸭江镇,04-02 12:00,Ⅱ,16.4,7.97,9.85,517.2,7.4,2.44,0.170,0.055,3.70,*,*,正常
重庆市,长江流域,鸭江镇,04-02 16:00,Ⅱ,16.4,7.94,9.65,513.6,15.8,2.51,0.150,0.055,3.63,*,*,正常
重庆市,长江流域,鸭江镇,04-02 20:00,Ⅱ,16.4,7.92,9.57,518.2,11.7,2.72,0.159,0.060,3.57,*,*,正常
重庆市,长江流域,鸭江镇,04-03 00:00,Ⅱ,16.3,7.95,9.58,520.6,10.6,2.42,0.169,0.056,3.57,*,*,正常
重庆市,长江流域,鸭江镇,04-03 00:00,Ⅱ,16.3,7.95,9.58,520.6,10.6,2.42,0.169,0.056,3.57,*,*,正常
重庆市,长江流域,鸭江镇,04-03 08:00,Ⅱ,16.4,8.00,9.71,513.7,10.4,2.74,0.153,0.059,3.66,*,*,正常
重庆市,长江流域,鸭江镇,04-03 12:00,Ⅱ,16.5,8.06,10.04,517.5,11.5,2.77,0.155,0.058,3.63,*,*,正常
重庆市,长江流域,鸭江镇,04-03 16:00,Ⅱ,16.6,8.11,10.12,519.0,10.1,2.81,0.148,0.058,3.53,*,*,正常
重庆市,长江流域,鸭江镇,04-03 20:00,Ⅱ,16.6,8.07,9.65,515.6,9.0,2.51,0.137,0.056,3.58,*,*,正常
重庆市,长江流域,鸭江镇,04-04 00:00,Ⅱ,16.5,8.05,9.52,517.7,9.5,2.73,0.136,0.056,3.55,*,*,正常
重庆市,长江流域,鸭江镇,04-04 00:00,Ⅱ,16.5,8.05,9.52,517.7,9.5,2.73,0.136,0.056,3.55,*,*,正常
