省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
黑龙江省,松花江流域,海浪,04-01 04:00,Ⅳ,2.2,6.89,11.30,106.9,132.0,8.27,0.306,0.176,2.52,*,*,正常
黑龙江省,松花江流域,海浪,04-01 12:00,Ⅳ,2.6,6.90,11.07,106.0,179.8,8.88,0.340,0.222,2.46,*,*,正常
黑龙江省,松花江流域,海浪,04-01 12:00,Ⅳ,2.6,6.90,11.07,106.0,179.8,8.88,0.340,0.222,2.46,*,*,正常
黑龙江省,松花江流域,海浪,04-01 12:00,Ⅳ,2.6,6.90,11.07,106.0,179.8,8.88,0.340,0.222,2.46,*,*,正常
黑龙江省,松花江流域,海浪,04-01 20:00,Ⅳ,2.8,7.04,10.69,103.3,197.8,8.80,0.309,0.243,2.41,*,*,正常
黑龙江省,松花江流域,海浪,04-02 00:00,Ⅳ,2.2,6.96,11.25,100.1,174.4,8.80,0.309,0.243,2.41,*,*,正常
黑龙江省,松花江流域,海浪,04-02 04:00,Ⅳ,2.5,6.91,11.22,98.1,161.0,7.95,0.275,0.211,2.35,*,*,正常
黑龙江省,松花江流域,海浪,04-02 08:00,Ⅳ,2.4,6.88,11.36,98.2,159.8,7.91,0.284,0.200,2.31,*,*,正常
黑龙江省,松花江流域,海浪,04-02 12:00,Ⅳ,2.8,6.89,11.07,100.3,193.1,8.52,0.291,0.224,2.37,*,*,正常
黑龙江省,松花江流域,海浪,04-02 16:00,Ⅴ,2.8,6.92,10.55,102.5,316.1,11.13,0.298,0.271,2.42,*,*,正常
黑龙江省,松花江流域,海浪,04-02 20:00,Ⅳ,2.6,6.90,10.76,99.1,179.6,8.78,0.259,0.239,2.26,*,*,正常
黑龙江省,松花江流域,海浪,04-03 00:00,Ⅳ,2.6,6.85,10.95,96.0,153.1,8.78,0.259,0.239,2.26,*,*,正常
黑龙江省,松花江流域,海浪,04-03 04:00,Ⅴ,2.6,6.89,11.00,97.7,341.1,11.27,0.294,0.293,2.54,*,*,正常
黑龙江省,松花江流域,海浪,04-03 08:00,Ⅳ,3.5,6.88,11.18,102.3,175.6,8.69,0.272,0.231,2.44,*,*,正常
黑龙江省,松花江流域,海浪,04-03 12:00,Ⅳ,4.6,6.87,11.21,107.5,155.2,8.56,0.286,0.234,2.55,*,*,正常
